ref,phraseNode,clauseNode,verse,rareTerms,phraseType,clause,verb,nouns,phrase,prepCt,nounCt,prepositions,nounTypes,notes
"('1_Samuel', 26, 7)",695636,545306,וַיָּבֹא֩ דָוִ֨ד וַאֲבִישַׁ֥י׀ אֶל־הָעָם֮ לַיְלָה֒ וְהִנֵּ֣ה שָׁא֗וּל שֹׁכֵ֤ב יָשֵׁן֙ בַּמַּעְגָּ֔ל וַחֲנִיתֹ֥ו מְעוּכָֽה־בָאָ֖רֶץ מְרַאֲשֹׁתָ֑יו וְאַבְנֵ֣ר וְהָעָ֔ם שֹׁכְבִ֖ים סְבִיבֹתָֽיו׃,,PreC,וְהִנֵּ֣ה שָׁא֗וּל שֹׁכֵ֤ב ,שֹׁכֵ֤ב,,שֹׁכֵ֤ב ,0,0,,, 
"('Isaiah', 56, 10)",740476,561234,צֹפָ֞יו עִוְרִ֤ים כֻּלָּם֙ לֹ֣א יָדָ֔עוּ כֻּלָּם֙ כְּלָבִ֣ים אִלְּמִ֔ים לֹ֥א יוּכְל֖וּ לִנְבֹּ֑חַ הֹזִים֙ שֹֽׁכְבִ֔ים אֹהֲבֵ֖י לָנֽוּם׃ ,,PreC,שֹֽׁכְבִ֔ים ,שֹֽׁכְבִ֔ים,,שֹֽׁכְבִ֔ים ,0,0,,, 
"('1_Samuel', 26, 5)",695600,545296,וַיָּ֣קָם דָּוִ֗ד וַיָּבֹא֮ אֶֽל־הַמָּקֹום֮ אֲשֶׁ֣ר חָנָה־שָׁ֣ם שָׁאוּל֒ וַיַּ֣רְא דָּוִ֗ד אֶת־הַמָּקֹום֙ אֲשֶׁ֣ר שָֽׁכַב־שָׁ֣ם שָׁא֔וּל וְאַבְנֵ֥ר בֶּן־נֵ֖ר שַׂר־צְבָאֹ֑ו וְשָׁאוּל֙ שֹׁכֵ֣ב בַּמַּעְגָּ֔ל וְהָעָ֖ם חֹנִ֥ים סְבִיבֹתָֽיו׃,"('NR=/', 'Ner')",Cmpl,אֲשֶׁ֣ר שָֽׁכַב־שָׁ֣ם שָׁא֔וּל וְאַבְנֵ֥ר בֶּן־נֵ֖ר שַׂר־צְבָאֹ֑ו ,שָֽׁכַב,שָׁ֣ם,שָׁ֣ם ,0,1,,locale, 
"('2_Samuel', 13, 31)",701936,547397,וַיָּ֧קָם הַמֶּ֛לֶךְ וַיִּקְרַ֥ע אֶת־בְּגָדָ֖יו וַיִּשְׁכַּ֣ב אָ֑רְצָה וְכָל־עֲבָדָ֥יו נִצָּבִ֖ים קְרֻעֵ֥י בְגָדִֽים׃ ס ,,Cmpl,וַיִּשְׁכַּ֣ב אָ֑רְצָה ,יִּשְׁכַּ֣ב,אָ֑רְצָה,אָ֑רְצָה ,0,1,,locale, 
"('Ruth', 3, 4)",821857,592100,וִיהִ֣י בְשָׁכְבֹ֗ו וְיָדַ֨עַתְּ֙ אֶת־הַמָּקֹום֙ אֲשֶׁ֣ר יִשְׁכַּב־שָׁ֔ם וּבָ֛את וְגִלִּ֥ית מַרְגְּלֹתָ֖יו וְשָׁכָ֑בְתְּ וְהוּא֙ יַגִּ֣יד לָ֔ךְ אֵ֖ת אֲשֶׁ֥ר תַּעֲשִֽׂין׃ ,,Loca,אֲשֶׁ֣ר יִשְׁכַּב־שָׁ֔ם ,יִשְׁכַּב,שָׁ֔ם,שָׁ֔ם ,0,1,,locale, 
"('2_Samuel', 12, 16)",701154,547121,וַיְבַקֵּ֥שׁ דָּוִ֛ד אֶת־הָאֱלֹהִ֖ים בְּעַ֣ד הַנָּ֑עַר וַיָּ֤צָם דָּוִד֙ צֹ֔ום וּבָ֥א וְלָ֖ן וְשָׁכַ֥ב אָֽרְצָה׃ ,,Cmpl,וְשָׁכַ֥ב אָֽרְצָה׃ ,שָׁכַ֥ב,אָֽרְצָה,אָֽרְצָה׃ ,0,1,,locale, 
"('2_Kings', 4, 11)",718946,553293,וַיְהִ֥י הַיֹּ֖ום וַיָּ֣בֹא שָׁ֑מָּה וַיָּ֥סַר אֶל־הָעֲלִיָּ֖ה וַיִּשְׁכַּב־שָֽׁמָּה׃ ,,Cmpl,וַיִּשְׁכַּב־שָֽׁמָּה׃ ,יִּשְׁכַּב,שָֽׁמָּה,שָֽׁמָּה׃ ,0,1,,locale, 
"('Psalms', 57, 5)",795458,581668,נַפְשִׁ֤י׀ בְּתֹ֥וךְ לְבָאִם֮ אֶשְׁכְּבָ֪ה לֹ֫הֲטִ֥ים בְּֽנֵי־אָדָ֗ם שִׁ֭נֵּיהֶם חֲנִ֣ית וְחִצִּ֑ים וּ֝לְשֹׁונָ֗ם חֶ֣רֶב חַדָּֽה׃ ,"('LHV[', 'devour')",Adju,אֶשְׁכְּבָ֪ה לֹ֫הֲטִ֥ים ,אֶשְׁכְּבָ֪ה,לֹ֫הֲטִ֥ים,לֹ֫הֲטִ֥ים ,0,1,,?, 
"('Ruth', 3, 14)",822004,592162,וַתִּשְׁכַּ֤ב מַרְגְּלֹתָיו֙ עַד־הַבֹּ֔קֶר וַתָּ֕קָם בְּטֶ֛רֶם יַכִּ֥יר אִ֖ישׁ אֶת־רֵעֵ֑הוּ וַיֹּ֨אמֶר֙ אַל־יִוָּדַ֔ע כִּי־בָ֥אָה הָאִשָּׁ֖ה הַגֹּֽרֶן׃ ,"('MRGLT/', 'feet-place')",Loca,וַתִּשְׁכַּ֤ב מַרְגְּלֹתָיו֙ עַד־הַבֹּ֔קֶר ,תִּשְׁכַּ֤ב,מרגלתו,מַרְגְּלֹתָיו֙ ,0,1,,?, 
"('2_Samuel', 13, 8)",701551,547260,וַתֵּ֣לֶךְ תָּמָ֗ר בֵּ֛ית אַמְנֹ֥ון אָחִ֖יהָ וְה֣וּא שֹׁכֵ֑ב וַתִּקַּ֨ח אֶת־הַבָּצֵ֤ק וַתָּ֨לָשׁ֙ וַתְּלַבֵּ֣ב לְעֵינָ֔יו וַתְּבַשֵּׁ֖ל אֶת־הַלְּבִבֹֽות׃ ,,PreC,וְה֣וּא שֹׁכֵ֑ב ,,שֹׁכֵ֑ב,שֹׁכֵ֑ב ,0,1,,?, 
