ref,phraseNode,clauseNode,verse,rareTerms,phraseType,clause,verb,nouns,phrase,prepCt,nounCt,prepositions,nounTypes,notes
"('1_Kings', 15, 8)",713724,551428,וַיִּשְׁכַּ֤ב אֲבִיָּם֙ עִם־אֲבֹתָ֔יו וַיִּקְבְּר֥וּ אֹתֹ֖ו בְּעִ֣יר דָּוִ֑ד וַיִּמְלֹ֛ךְ אָסָ֥א בְנֹ֖ו תַּחְתָּֽיו׃ פ ,"('>BJM/', 'Abijah')",Cmpl,וַיִּשְׁכַּ֤ב אֲבִיָּם֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Chronicles', 32, 33)",856968,604682,וַיִּשְׁכַּ֨ב יְחִזְקִיָּ֜הוּ עִם־אֲבֹתָ֗יו וַֽיִּקְבְּרֻהוּ֮ בְּֽמַעֲלֵה֮ קִבְרֵ֣י בְנֵי־דָוִיד֒ וְכָבֹוד֙ עָֽשׂוּ־לֹ֣ו בְמֹותֹ֔ו כָּל־יְהוּדָ֖ה וְיֹשְׁבֵ֣י יְרוּשָׁלִָ֑ם וַיִּמְלֹ֛ךְ מְנַשֶּׁ֥ה בְנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֨ב יְחִזְקִיָּ֜הוּ עִם־אֲבֹתָ֗יו ,יִּשְׁכַּ֨ב,אֲבֹתָ֗יו,עִם־אֲבֹתָ֗יו ,1,1,עמ,agent, 
"('2_Kings', 15, 22)",723818,555029,וַיִּשְׁכַּ֥ב מְנַחֵ֖ם עִם־אֲבֹתָ֑יו וַיִּמְלֹ֛ךְ פְּקַחְיָ֥ה בְנֹ֖ו תַּחְתָּֽיו׃ פ ,"('MNXM/', 'Menahem')",Cmpl,וַיִּשְׁכַּ֥ב מְנַחֵ֖ם עִם־אֲבֹתָ֑יו ,יִּשְׁכַּ֥ב,אֲבֹתָ֑יו,עִם־אֲבֹתָ֑יו ,1,1,עמ,agent, 
"('1_Kings', 2, 10)",707791,549411,וַיִּשְׁכַּ֥ב דָּוִ֖ד עִם־אֲבֹתָ֑יו וַיִּקָּבֵ֖ר בְּעִ֥יר דָּוִֽד׃ פ ,,Cmpl,וַיִּשְׁכַּ֥ב דָּוִ֖ד עִם־אֲבֹתָ֑יו ,יִּשְׁכַּ֥ב,אֲבֹתָ֑יו,עִם־אֲבֹתָ֑יו ,1,1,עמ,agent, 
"('2_Kings', 10, 35)",722361,554545,וַיִּשְׁכַּ֤ב יֵהוּא֙ עִם־אֲבֹתָ֔יו וַיִּקְבְּר֥וּ אֹתֹ֖ו בְּשֹׁמְרֹ֑ון וַיִּמְלֹ֛ךְ יְהֹואָחָ֥ז בְּנֹ֖ו תַּחְתָּֽיו׃ ,,Cmpl,וַיִּשְׁכַּ֤ב יֵהוּא֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Chronicles', 28, 27)",855577,604212,וַיִּשְׁכַּ֨ב אָחָ֜ז עִם־אֲבֹתָ֗יו וַֽיִּקְבְּרֻ֤הוּ בָעִיר֙ בִּיר֣וּשָׁלִַ֔ם כִּ֚י לֹ֣א הֱבִיאֻ֔הוּ לְקִבְרֵ֖י מַלְכֵ֣י יִשְׂרָאֵ֑ל וַיִּמְלֹ֛ךְ יְחִזְקִיָּ֥הֽוּ בְנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֨ב אָחָ֜ז עִם־אֲבֹתָ֗יו ,יִּשְׁכַּ֨ב,אֲבֹתָ֗יו,עִם־אֲבֹתָ֗יו ,1,1,עמ,agent, 
"('1_Kings', 15, 24)",713895,551486,וַיִּשְׁכַּ֤ב אָסָא֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵר֙ עִם־אֲבֹתָ֔יו בְּעִ֖יר דָּוִ֣ד אָבִ֑יו וַיִּמְלֹ֛ךְ יְהֹושָׁפָ֥ט בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֤ב אָסָא֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Kings', 15, 38)",723962,555078,וַיִּשְׁכַּ֤ב יֹותָם֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵר֙ עִם־אֲבֹתָ֔יו בְּעִ֖יר דָּוִ֣ד אָבִ֑יו וַיִּמְלֹ֛ךְ אָחָ֥ז בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,"('JWTM/', 'Jotham')",Cmpl,וַיִּשְׁכַּ֤ב יֹותָם֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('Leviticus', 15, 33)",641537,526932,וְהַדָּוָה֙ בְּנִדָּתָ֔הּ וְהַזָּב֙ אֶת־זֹובֹ֔ו לַזָּכָ֖ר וְלַנְּקֵבָ֑ה וּלְאִ֕ישׁ אֲשֶׁ֥ר יִשְׁכַּ֖ב עִם־טְמֵאָֽה׃ פ ,,Cmpl,אֲשֶׁ֥ר יִשְׁכַּ֖ב עִם־טְמֵאָֽה׃ פ ,יִשְׁכַּ֖ב,טְמֵאָֽה,עִם־טְמֵאָֽה׃ פ ,1,1,עמ,agent, 
"('2_Chronicles', 33, 20)",857231,604772,וַיִּשְׁכַּ֤ב מְנַשֶּׁה֙ עִם־אֲבֹתָ֔יו וַֽיִּקְבְּרֻ֖הוּ בֵּיתֹ֑ו וַיִּמְלֹ֛ךְ אָמֹ֥ון בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֤ב מְנַשֶּׁה֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('1_Kings', 16, 6)",714056,551540,וַיִּשְׁכַּ֤ב בַּעְשָׁא֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֖ר בְּתִרְצָ֑ה וַיִּמְלֹ֛ךְ אֵלָ֥ה בְנֹ֖ו תַּחְתָּֽיו׃ ,"('B<C>/', 'Baasha')",Cmpl,וַיִּשְׁכַּ֤ב בַּעְשָׁא֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Chronicles', 12, 16)",851291,602750,וַיִּשְׁכַּ֤ב רְחַבְעָם֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֖ר בְּעִ֣יר דָּוִ֑יד וַיִּמְלֹ֛ךְ אֲבִיָּ֥ה בְנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֤ב רְחַבְעָם֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Kings', 8, 24)",721228,554126,וַיִּשְׁכַּ֤ב יֹורָם֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֥ר עִם־אֲבֹתָ֖יו בְּעִ֣יר דָּוִ֑ד וַיִּמְלֹ֛ךְ אֲחַזְיָ֥הוּ בְנֹ֖ו תַּחְתָּֽיו׃ פ ,"('JWRM/', 'Joram')",Cmpl,וַיִּשְׁכַּ֤ב יֹורָם֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Samuel', 11, 11)",700667,546965,וַיֹּ֨אמֶר אוּרִיָּ֜ה אֶל־דָּוִ֗ד הָ֠אָרֹון וְיִשְׂרָאֵ֨ל וִֽיהוּדָ֜ה יֹשְׁבִ֣ים בַּסֻּכֹּ֗ות וַאדֹנִ֨י יֹואָ֜ב וְעַבְדֵ֤י אֲדֹנִ֨י עַל־פְּנֵ֤י הַשָּׂדֶה֙ חֹנִ֔ים וַאֲנִ֞י אָבֹ֧וא אֶל־בֵּיתִ֛י לֶאֱכֹ֥ל וְלִשְׁתֹּ֖ות וְלִשְׁכַּ֣ב עִם־אִשְׁתִּ֑י חַיֶּ֨ךָ֙ וְחֵ֣י נַפְשֶׁ֔ךָ אִֽם־אֶעֱשֶׂ֖ה אֶת־הַדָּבָ֥ר הַזֶּֽה׃ ,,Cmpl,וְלִשְׁכַּ֣ב עִם־אִשְׁתִּ֑י ,שְׁכַּ֣ב,אִשְׁתִּ֑י,עִם־אִשְׁתִּ֑י ,1,1,עמ,agent, 
"('2_Kings', 16, 20)",724208,555158,וַיִּשְׁכַּ֤ב אָחָז֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֥ר עִם־אֲבֹתָ֖יו בְּעִ֣יר דָּוִ֑ד וַיִּמְלֹ֛ךְ חִזְקִיָּ֥הוּ בְנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֤ב אָחָז֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Kings', 24, 6)",727200,556182,וַיִּשְׁכַּ֥ב יְהֹויָקִ֖ים עִם־אֲבֹתָ֑יו וַיִּמְלֹ֛ךְ יְהֹויָכִ֥ין בְּנֹ֖ו תַּחְתָּֽיו׃ ,,Cmpl,וַיִּשְׁכַּ֥ב יְהֹויָקִ֖ים עִם־אֲבֹתָ֑יו ,יִּשְׁכַּ֥ב,אֲבֹתָ֑יו,עִם־אֲבֹתָ֑יו ,1,1,עמ,agent, 
"('Genesis', 47, 30)",622154,520366,וְשָֽׁכַבְתִּי֙ עִם־אֲבֹתַ֔י וּנְשָׂאתַ֨נִי֙ מִמִּצְרַ֔יִם וּקְבַרְתַּ֖נִי בִּקְבֻרָתָ֑ם וַיֹּאמַ֕ר אָנֹכִ֖י אֶֽעֱשֶׂ֥ה כִדְבָרֶֽךָ׃ ,,Cmpl,וְשָֽׁכַבְתִּי֙ עִם־אֲבֹתַ֔י ,שָֽׁכַבְתִּי֙,אֲבֹתַ֔י,עִם־אֲבֹתַ֔י ,1,1,עמ,agent, 
"('1_Kings', 16, 28)",714315,551632,וַיִּשְׁכַּ֤ב עָמְרִי֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֖ר בְּשֹׁמְרֹ֑ון וַיִּמְלֹ֛ךְ אַחְאָ֥ב בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,"('<MRJ/', 'Omri')",Cmpl,וַיִּשְׁכַּ֤ב עָמְרִי֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Chronicles', 13, 23)",851558,602836,וַיִּשְׁכַּ֨ב אֲבִיָּ֜ה עִם־אֲבֹתָ֗יו וַיִּקְבְּר֤וּ אֹתֹו֙ בְּעִ֣יר דָּוִ֔יד וַיִּמְלֹ֛ךְ אָסָ֥א בְנֹ֖ו תַּחְתָּ֑יו בְּיָמָ֛יו שָׁקְטָ֥ה הָאָ֖רֶץ עֶ֥שֶׂר שָׁנִֽים׃ פ ,"('>BJH/', 'Abijah')",Cmpl,וַיִּשְׁכַּ֨ב אֲבִיָּ֜ה עִם־אֲבֹתָ֗יו ,יִּשְׁכַּ֨ב,אֲבֹתָ֗יו,עִם־אֲבֹתָ֗יו ,1,1,עמ,agent, 
"('2_Kings', 20, 21)",726031,555781,וַיִּשְׁכַּ֥ב חִזְקִיָּ֖הוּ עִם־אֲבֹתָ֑יו וַיִּמְלֹ֛ךְ מְנַשֶּׁ֥ה בְנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֥ב חִזְקִיָּ֖הוּ עִם־אֲבֹתָ֑יו ,יִּשְׁכַּ֥ב,אֲבֹתָ֑יו,עִם־אֲבֹתָ֑יו ,1,1,עמ,agent, 
"('2_Kings', 13, 9)",723024,554762,וַיִּשְׁכַּ֤ב יְהֹֽואָחָז֙ עִם־אֲבֹתָ֔יו וַֽיִּקְבְּרֻ֖הוּ בְּשֹׁמְרֹ֑ון וַיִּמְלֹ֛ךְ יֹואָ֥שׁ בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,"('JHW>XZ/', 'Jehoahaz')",Cmpl,וַיִּשְׁכַּ֤ב יְהֹֽואָחָז֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Kings', 13, 13)",723066,554776,וַיִּשְׁכַּ֤ב יֹואָשׁ֙ עִם־אֲבֹתָ֔יו וְיָרָבְעָ֖ם יָשַׁ֣ב עַל־כִּסְאֹ֑ו וַיִּקָּבֵ֤ר יֹואָשׁ֙ בְּשֹׁ֣מְרֹ֔ון עִ֖ם מַלְכֵ֥י יִשְׂרָאֵֽל׃ פ ,,Cmpl,וַיִּשְׁכַּ֤ב יֹואָשׁ֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Chronicles', 26, 2)",854899,603983,ה֚וּא בָּנָ֣ה אֶת־אֵילֹ֔ות וַיְשִׁיבֶ֖הָ לִֽיהוּדָ֑ה אַחֲרֵ֥י שְׁכַֽב־הַמֶּ֖לֶךְ עִם־אֲבֹתָֽיו׃ פ ,,Adju,אַחֲרֵ֥י שְׁכַֽב־הַמֶּ֖לֶךְ עִם־אֲבֹתָֽיו׃ פ ,שְׁכַֽב,אֲבֹתָֽיו,עִם־אֲבֹתָֽיו׃ פ ,1,1,עמ,agent, 
"('1_Kings', 22, 40)",717502,552787,וַיִּשְׁכַּ֥ב אַחְאָ֖ב עִם־אֲבֹתָ֑יו וַיִּמְלֹ֛ךְ אֲחַזְיָ֥הוּ בְנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֥ב אַחְאָ֖ב עִם־אֲבֹתָ֑יו ,יִּשְׁכַּ֥ב,אֲבֹתָ֑יו,עִם־אֲבֹתָ֑יו ,1,1,עמ,agent, 
"('2_Kings', 21, 18)",726261,555865,וַיִּשְׁכַּ֤ב מְנַשֶּׁה֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֥ר בְּגַן־בֵּיתֹ֖ו בְּגַן־עֻזָּ֑א וַיִּמְלֹ֛ךְ אָמֹ֥ון בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֤ב מְנַשֶּׁה֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Chronicles', 21, 1)",853407,603481,וַיִּשְׁכַּ֤ב יְהֹֽושָׁפָט֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֥ר עִם־אֲבֹתָ֖יו בְּעִ֣יר דָּוִ֑יד וַיִּמְלֹ֛ךְ יְהֹורָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ ,,Cmpl,וַיִּשְׁכַּ֤ב יְהֹֽושָׁפָט֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('1_Kings', 1, 21)",707209,549213,וְהָיָ֕ה כִּשְׁכַ֥ב אֲדֹנִֽי־הַמֶּ֖לֶךְ עִם־אֲבֹתָ֑יו וְהָיִ֗יתִי אֲנִ֛י וּבְנִ֥י שְׁלֹמֹ֖ה חַטָּאִֽים׃ ,,Cmpl,כִּשְׁכַ֥ב אֲדֹנִֽי־הַמֶּ֖לֶךְ עִם־אֲבֹתָ֑יו ,שְׁכַ֥ב,אֲבֹתָ֑יו,עִם־אֲבֹתָ֑יו ,1,1,עמ,agent, 
"('1_Kings', 22, 51)",717598,552818,וַיִּשְׁכַּ֤ב יְהֹֽושָׁפָט֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵר֙ עִם־אֲבֹתָ֔יו בְּעִ֖יר דָּוִ֣ד אָבִ֑יו וַיִּמְלֹ֛ךְ יְהֹורָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ ס ,,Cmpl,וַיִּשְׁכַּ֤ב יְהֹֽושָׁפָט֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('1_Kings', 11, 21)",711829,550792,וַהֲדַ֞ד שָׁמַ֣ע בְּמִצְרַ֗יִם כִּֽי־שָׁכַ֤ב דָּוִד֙ עִם־אֲבֹתָ֔יו וְכִי־מֵ֖ת יֹואָ֣ב שַֽׂר־הַצָּבָ֑א וַיֹּ֤אמֶר הֲדַד֙ אֶל־פַּרְעֹ֔ה שַׁלְּחֵ֖נִי וְאֵלֵ֥ךְ אֶל־אַרְצִֽי׃ ,,Cmpl,כִּֽי־שָׁכַ֤ב דָּוִד֙ עִם־אֲבֹתָ֔יו ,שָׁכַ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Chronicles', 16, 13)",852090,603017,וַיִּשְׁכַּ֥ב אָסָ֖א עִם־אֲבֹתָ֑יו וַיָּ֕מָת בִּשְׁנַ֛ת אַרְבָּעִ֥ים וְאַחַ֖ת לְמָלְכֹֽו׃ ,,Cmpl,וַיִּשְׁכַּ֥ב אָסָ֖א עִם־אֲבֹתָ֑יו ,יִּשְׁכַּ֥ב,אֲבֹתָ֑יו,עִם־אֲבֹתָ֑יו ,1,1,עמ,agent, 
"('2_Chronicles', 9, 31)",850607,602513,וַיִּשְׁכַּ֤ב שְׁלֹמֹה֙ עִם־אֲבֹתָ֔יו וַֽיִּקְבְּרֻ֔הוּ בְּעִ֖יר דָּוִ֣יד אָבִ֑יו וַיִּמְלֹ֛ךְ רְחַבְעָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֤ב שְׁלֹמֹה֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Kings', 14, 16)",723454,554911,וַיִּשְׁכַּ֤ב יְהֹואָשׁ֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵר֙ בְּשֹׁ֣מְרֹ֔ון עִ֖ם מַלְכֵ֣י יִשְׂרָאֵ֑ל וַיִּמְלֹ֛ךְ יָרָבְעָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,"('JHW>C/', 'Jehoash')",Cmpl,וַיִּשְׁכַּ֤ב יְהֹואָשׁ֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Chronicles', 26, 23)",855144,604071,וַיִּשְׁכַּ֨ב עֻזִּיָּ֜הוּ עִם־אֲבֹתָ֗יו וַיִּקְבְּר֨וּ אֹתֹ֤ו עִם־אֲבֹתָיו֙ בִּשְׂדֵ֤ה הַקְּבוּרָה֙ אֲשֶׁ֣ר לַמְּלָכִ֔ים כִּ֥י אָמְר֖וּ מְצֹורָ֣ע ה֑וּא וַיִּמְלֹ֛ךְ יֹותָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,"('<ZJHW/', 'Uzziah')",Adju,וַיִּשְׁכַּ֨ב עֻזִּיָּ֜הוּ עִם־אֲבֹתָ֗יו ,יִּשְׁכַּ֨ב,אֲבֹתָ֗יו,עִם־אֲבֹתָ֗יו ,1,1,עמ,agent, 
"('2_Kings', 14, 22)",723517,554928,ה֚וּא בָּנָ֣ה אֶת־אֵילַ֔ת וַיְשִׁבֶ֖הָ לִֽיהוּדָ֑ה אַחֲרֵ֥י שְׁכַֽב־הַמֶּ֖לֶךְ עִם־אֲבֹתָֽיו׃ פ ,,Cmpl,אַחֲרֵ֥י שְׁכַֽב־הַמֶּ֖לֶךְ עִם־אֲבֹתָֽיו׃ פ ,שְׁכַֽב,אֲבֹתָֽיו,עִם־אֲבֹתָֽיו׃ פ ,1,1,עמ,agent, 
"('1_Kings', 14, 20)",713529,551368,וְהַיָּמִים֙ אֲשֶׁ֣ר מָלַ֣ךְ יָרָבְעָ֔ם עֶשְׂרִ֥ים וּשְׁתַּ֖יִם שָׁנָ֑ה וַיִּשְׁכַּב֙ עִם־אֲבֹתָ֔יו וַיִּמְלֹ֛ךְ נָדָ֥ב בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּב֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּב֙,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
