reference,clauseAtom,Verse,Rare Terms,Clause,SatCount,SATELLITE: ,prepCount,ObjCount,Function,Category,(Preposition) + Objects,preposition,SATELLITE: ,prepCount,ObjCount,Function,Category,(Preposition) + Objects,preposition
"('1_Kings', 16, 6)",551540,וַיִּשְׁכַּ֤ב בַּעְשָׁא֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֖ר בְּתִרְצָ֑ה וַיִּמְלֹ֛ךְ אֵלָ֥ה בְנֹ֖ו תַּחְתָּֽיו׃ ,"('B<C>/', 'Baasha')",וַיִּשְׁכַּ֤ב בַּעְשָׁא֙ עִם־אֲבֹתָ֔יו ,1,714056,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Chronicles', 12, 16)",602750,וַיִּשְׁכַּ֤ב רְחַבְעָם֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֖ר בְּעִ֣יר דָּוִ֑יד וַיִּמְלֹ֛ךְ אֲבִיָּ֥ה בְנֹ֖ו תַּחְתָּֽיו׃ פ ,,וַיִּשְׁכַּ֤ב רְחַבְעָם֙ עִם־אֲבֹתָ֔יו ,1,851291,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Kings', 8, 24)",554126,וַיִּשְׁכַּ֤ב יֹורָם֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֥ר עִם־אֲבֹתָ֖יו בְּעִ֣יר דָּוִ֑ד וַיִּמְלֹ֛ךְ אֲחַזְיָ֥הוּ בְנֹ֖ו תַּחְתָּֽיו׃ פ ,"('JWRM/', 'Joram')",וַיִּשְׁכַּ֤ב יֹורָם֙ עִם־אֲבֹתָ֔יו ,1,721228,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Kings', 16, 20)",555158,וַיִּשְׁכַּ֤ב אָחָז֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֥ר עִם־אֲבֹתָ֖יו בְּעִ֣יר דָּוִ֑ד וַיִּמְלֹ֛ךְ חִזְקִיָּ֥הוּ בְנֹ֖ו תַּחְתָּֽיו׃ פ ,,וַיִּשְׁכַּ֤ב אָחָז֙ עִם־אֲבֹתָ֔יו ,1,724208,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Kings', 24, 6)",556182,וַיִּשְׁכַּ֥ב יְהֹויָקִ֖ים עִם־אֲבֹתָ֑יו וַיִּמְלֹ֛ךְ יְהֹויָכִ֥ין בְּנֹ֖ו תַּחְתָּֽיו׃ ,,וַיִּשְׁכַּ֥ב יְהֹויָקִ֖ים עִם־אֲבֹתָ֑יו ,1,727200,1,1,Cmpl,death,עִם אֲבֹתָ֑יו,עמ,,,,,,,
"('Genesis', 47, 30)",520366,וְשָֽׁכַבְתִּי֙ עִם־אֲבֹתַ֔י וּנְשָׂאתַ֨נִי֙ מִמִּצְרַ֔יִם וּקְבַרְתַּ֖נִי בִּקְבֻרָתָ֑ם וַיֹּאמַ֕ר אָנֹכִ֖י אֶֽעֱשֶׂ֥ה כִדְבָרֶֽךָ׃ ,,וְשָֽׁכַבְתִּי֙ עִם־אֲבֹתַ֔י ,1,622154,1,1,Cmpl,death,עִם אֲבֹתַ֔י,עמ,,,,,,,
"('1_Kings', 16, 28)",551632,וַיִּשְׁכַּ֤ב עָמְרִי֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֖ר בְּשֹׁמְרֹ֑ון וַיִּמְלֹ֛ךְ אַחְאָ֥ב בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,"('<MRJ/', 'Omri')",וַיִּשְׁכַּ֤ב עָמְרִי֙ עִם־אֲבֹתָ֔יו ,1,714315,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Chronicles', 13, 23)",602836,וַיִּשְׁכַּ֨ב אֲבִיָּ֜ה עִם־אֲבֹתָ֗יו וַיִּקְבְּר֤וּ אֹתֹו֙ בְּעִ֣יר דָּוִ֔יד וַיִּמְלֹ֛ךְ אָסָ֥א בְנֹ֖ו תַּחְתָּ֑יו בְּיָמָ֛יו שָׁקְטָ֥ה הָאָ֖רֶץ עֶ֥שֶׂר שָׁנִֽים׃ פ ,"('>BJH/', 'Abijah')",וַיִּשְׁכַּ֨ב אֲבִיָּ֜ה עִם־אֲבֹתָ֗יו ,1,851558,1,1,Cmpl,death,עִם אֲבֹתָ֗יו,עמ,,,,,,,
"('2_Kings', 20, 21)",555781,וַיִּשְׁכַּ֥ב חִזְקִיָּ֖הוּ עִם־אֲבֹתָ֑יו וַיִּמְלֹ֛ךְ מְנַשֶּׁ֥ה בְנֹ֖ו תַּחְתָּֽיו׃ פ ,,וַיִּשְׁכַּ֥ב חִזְקִיָּ֖הוּ עִם־אֲבֹתָ֑יו ,1,726031,1,1,Cmpl,death,עִם אֲבֹתָ֑יו,עמ,,,,,,,
"('2_Kings', 13, 9)",554762,וַיִּשְׁכַּ֤ב יְהֹֽואָחָז֙ עִם־אֲבֹתָ֔יו וַֽיִּקְבְּרֻ֖הוּ בְּשֹׁמְרֹ֑ון וַיִּמְלֹ֛ךְ יֹואָ֥שׁ בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,"('JHW>XZ/', 'Jehoahaz')",וַיִּשְׁכַּ֤ב יְהֹֽואָחָז֙ עִם־אֲבֹתָ֔יו ,1,723024,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Kings', 13, 13)",554776,וַיִּשְׁכַּ֤ב יֹואָשׁ֙ עִם־אֲבֹתָ֔יו וְיָרָבְעָ֖ם יָשַׁ֣ב עַל־כִּסְאֹ֑ו וַיִּקָּבֵ֤ר יֹואָשׁ֙ בְּשֹׁ֣מְרֹ֔ון עִ֖ם מַלְכֵ֥י יִשְׂרָאֵֽל׃ פ ,,וַיִּשְׁכַּ֤ב יֹואָשׁ֙ עִם־אֲבֹתָ֔יו ,1,723066,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Chronicles', 26, 2)",603983,ה֚וּא בָּנָ֣ה אֶת־אֵילֹ֔ות וַיְשִׁיבֶ֖הָ לִֽיהוּדָ֑ה אַחֲרֵ֥י שְׁכַֽב־הַמֶּ֖לֶךְ עִם־אֲבֹתָֽיו׃ פ ,,אַחֲרֵ֥י שְׁכַֽב־הַמֶּ֖לֶךְ עִם־אֲבֹתָֽיו׃ פ ,1,854899,1,1,Adju,death,עִם אֲבֹתָֽיו,עמ,,,,,,,
"('1_Kings', 22, 40)",552787,וַיִּשְׁכַּ֥ב אַחְאָ֖ב עִם־אֲבֹתָ֑יו וַיִּמְלֹ֛ךְ אֲחַזְיָ֥הוּ בְנֹ֖ו תַּחְתָּֽיו׃ פ ,,וַיִּשְׁכַּ֥ב אַחְאָ֖ב עִם־אֲבֹתָ֑יו ,1,717502,1,1,Cmpl,death,עִם אֲבֹתָ֑יו,עמ,,,,,,,
"('2_Kings', 21, 18)",555865,וַיִּשְׁכַּ֤ב מְנַשֶּׁה֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֥ר בְּגַן־בֵּיתֹ֖ו בְּגַן־עֻזָּ֑א וַיִּמְלֹ֛ךְ אָמֹ֥ון בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,,וַיִּשְׁכַּ֤ב מְנַשֶּׁה֙ עִם־אֲבֹתָ֔יו ,1,726261,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Chronicles', 21, 1)",603481,וַיִּשְׁכַּ֤ב יְהֹֽושָׁפָט֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵ֥ר עִם־אֲבֹתָ֖יו בְּעִ֣יר דָּוִ֑יד וַיִּמְלֹ֛ךְ יְהֹורָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ ,,וַיִּשְׁכַּ֤ב יְהֹֽושָׁפָט֙ עִם־אֲבֹתָ֔יו ,1,853407,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('1_Kings', 1, 21)",549213,וְהָיָ֕ה כִּשְׁכַ֥ב אֲדֹנִֽי־הַמֶּ֖לֶךְ עִם־אֲבֹתָ֑יו וְהָיִ֗יתִי אֲנִ֛י וּבְנִ֥י שְׁלֹמֹ֖ה חַטָּאִֽים׃ ,,כִּשְׁכַ֥ב אֲדֹנִֽי־הַמֶּ֖לֶךְ עִם־אֲבֹתָ֑יו ,1,707209,1,1,Cmpl,death,עִם אֲבֹתָ֑יו,עמ,,,,,,,
