reference,text,verb,pronominal,verb_PGN,suffx_PGN,same?,verb_ca,pron_ca
"('Exodus', 30, 32)-('Exodus', 30, 32)",עַל־בְּשַׂ֤ר אָדָם֙ לֹ֣א יִיסָ֔ךְ וּבְמַ֨תְכֻּנְתֹּ֔ו לֹ֥א תַעֲשׂ֖וּ כָּמֹ֑הוּ ,יִיסָ֔ךְ ,מַ֨תְכֻּנְתֹּ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,524066,524067
"('Exodus', 34, 15)-('Exodus', 34, 15)",וְקָרָ֣א לְךָ֔ וְאָכַלְתָּ֖ מִזִּבְחֹֽו׃ ,קָרָ֣א ,זִּבְחֹֽו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,524520,524521
"('Exodus', 40, 13)-('Exodus', 40, 14)",וְכִהֵ֥ן לִֽי׃ וְאֶת־בָּנָ֖יו תַּקְרִ֑יב ,כִהֵ֥ן ,בָּנָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,525102,525103
"('Leviticus', 5, 16)-('Leviticus', 5, 16)",יְשַׁלֵּ֗ם וְאֶת־חֲמִֽישִׁתֹו֙ יֹוסֵ֣ף עָלָ֔יו ,יְשַׁלֵּ֗ם ,חֲמִֽישִׁתֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,525544,525545
"('Leviticus', 11, 11)-('Leviticus', 11, 11)",וְשֶׁ֖קֶץ יִהְי֣וּ לָכֶ֑ם מִבְּשָׂרָם֙ לֹ֣א תֹאכֵ֔לוּ ,יִהְי֣וּ ,בְּשָׂרָם֙ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,526156,526157
"('Leviticus', 12, 4)-('Leviticus', 12, 4)",וְאֶל־הַמִּקְדָּשׁ֙ לֹ֣א תָבֹ֔א עַד־מְלֹ֖את יְמֵ֥י טָהֳרָֽהּ׃ ,תָבֹ֔א ,טָהֳרָֽהּ׃ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,526319,526320
"('Leviticus', 17, 16)-('Leviticus', 17, 16)",וְאִם֙ לֹ֣א יְכַבֵּ֔ס וּבְשָׂרֹ֖ו לֹ֣א יִרְחָ֑ץ ,יְכַבֵּ֔ס ,בְשָׂרֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,527136,527137
"('Leviticus', 20, 9)-('Leviticus', 20, 9)",מֹ֣ות יוּמָ֑ת אָבִ֧יו וְאִמֹּ֛ו קִלֵּ֖ל ,יוּמָ֑ת ,אָבִ֧יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,527402,527403
"('Leviticus', 20, 9)-('Leviticus', 20, 9)",אָבִ֧יו וְאִמֹּ֛ו קִלֵּ֖ל דָּמָ֥יו בֹּֽו׃ ,קִלֵּ֖ל ,דָּמָ֥יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,527403,527404
"('Leviticus', 20, 12)-('Leviticus', 20, 12)",תֶּ֥בֶל עָשׂ֖וּ דְּמֵיהֶ֥ם בָּֽם׃ ,עָשׂ֖וּ ,דְּמֵיהֶ֥ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,527417,527418
"('Leviticus', 20, 13)-('Leviticus', 20, 13)",מֹ֥ות יוּמָ֖תוּ דְּמֵיהֶ֥ם בָּֽם׃ ,יוּמָ֖תוּ ,דְּמֵיהֶ֥ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,527422,527423
"('Leviticus', 20, 16)-('Leviticus', 20, 16)",מֹ֥ות יוּמָ֖תוּ דְּמֵיהֶ֥ם בָּֽם׃ ,יוּמָ֖תוּ ,דְּמֵיהֶ֥ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,527437,527438
"('Leviticus', 20, 17)-('Leviticus', 20, 17)",וְרָאָ֨ה אֶת־עֶרְוָתָ֜הּ וְהִֽיא־תִרְאֶ֤ה אֶת־עֶרְוָתֹו֙ ,רָאָ֨ה ,עֶרְוָתֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,527441,527442
"('Leviticus', 20, 17)-('Leviticus', 20, 17)",עֶרְוַ֧ת אֲחֹתֹ֛ו גִּלָּ֖ה עֲוֹנֹ֥ו יִשָּֽׂא׃ ,גִּלָּ֖ה ,עֲוֹנֹ֥ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,527445,527446
"('Leviticus', 21, 5)-('Leviticus', 21, 5)",וּפְאַ֥ת זְקָנָ֖ם לֹ֣א יְגַלֵּ֑חוּ וּבִ֨בְשָׂרָ֔ם לֹ֥א יִשְׂרְט֖וּ שָׂרָֽטֶת׃ ,יְגַלֵּ֑חוּ ,בְשָׂרָ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,527510,527511
"('Leviticus', 21, 10)-('Leviticus', 21, 10)",אֶת־רֹאשֹׁו֙ לֹ֣א יִפְרָ֔ע וּבְגָדָ֖יו לֹ֥א יִפְרֹֽם׃ ,יִפְרָ֔ע ,בְגָדָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,527536,527537
"('Leviticus', 21, 11)-('Leviticus', 21, 11)",וְעַ֛ל כָּל־נַפְשֹׁ֥ת מֵ֖ת לֹ֣א יָבֹ֑א לְאָבִ֥יו וּלְאִמֹּ֖ו לֹ֥א יִטַּמָּֽא׃ ,יָבֹ֑א ,אָבִ֥יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,527538,527539
"('Leviticus', 21, 14)-('Leviticus', 21, 14)",אֶת־אֵ֖לֶּה לֹ֣א יִקָּ֑ח כִּ֛י אִם־בְּתוּלָ֥ה מֵעַמָּ֖יו יִקַּ֥ח אִשָּֽׁה׃ ,יִקָּ֑ח ,עַמָּ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,527546,527547
"('Leviticus', 22, 7)-('Leviticus', 22, 7)",וְאַחַר֙ יֹאכַ֣ל מִן־הַקֳּדָשִׁ֔ים כִּ֥י לַחְמֹ֖ו הֽוּא׃ ,יֹאכַ֣ל ,לַחְמֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,527616,527617
"('Leviticus', 23, 18)-('Leviticus', 23, 18)",יִהְי֤וּ עֹלָה֙ לַֽיהוָ֔ה וּמִנְחָתָם֙ וְנִסְכֵּיהֶ֔ם אִשֵּׁ֥ה רֵֽיחַ־נִיחֹ֖חַ לַיהוָֽה׃ ,יִהְי֤וּ ,מִנְחָתָם֙ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,527759,527760
"('Leviticus', 25, 12)-('Leviticus', 25, 12)",קֹ֖דֶשׁ תִּהְיֶ֣ה לָכֶ֑ם מִן־הַ֨שָּׂדֶ֔ה תֹּאכְל֖וּ אֶת־תְּבוּאָתָֽהּ׃ ,תִּהְיֶ֣ה ,תְּבוּאָתָֽהּ׃ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,527956,527957
"('Numbers', 2, 9)-('Numbers', 2, 10)",רִאשֹׁנָ֖ה יִסָּֽעוּ׃ ס דֶּ֣גֶל מַחֲנֵ֧ה רְאוּבֵ֛ן תֵּימָ֖נָה לְצִבְאֹתָ֑ם ,יִסָּֽעוּ׃ ס ,צִבְאֹתָ֑ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,528533,528534
"('Numbers', 2, 17)-('Numbers', 2, 17)",כֵּ֣ן יִסָּ֔עוּ אִ֥ישׁ עַל־יָדֹ֖ו לְדִגְלֵיהֶֽם׃ ס ,יִסָּ֔עוּ ,דִגְלֵיהֶֽם׃ ס ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,528549,528550
"('Numbers', 2, 24)-('Numbers', 2, 25)",וּשְׁלִשִׁ֖ים יִסָּֽעוּ׃ ס דֶּ֣גֶל מַחֲנֵ֥ה דָ֛ן צָפֹ֖נָה לְצִבְאֹתָ֑ם ,יִסָּֽעוּ׃ ס ,צִבְאֹתָ֑ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,528561,528562
"('Numbers', 6, 6)-('Numbers', 6, 7)",עַל־נֶ֥פֶשׁ מֵ֖ת לֹ֥א יָבֹֽא׃ לְאָבִ֣יו וּלְאִמֹּ֗ו לְאָחִיו֙ וּלְאַ֣חֹתֹ֔ו ,יָבֹֽא׃ ,אָבִ֣יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,528985,528986
"('Numbers', 14, 23)-('Numbers', 14, 23)",אִם־יִרְאוּ֙ אֶת־הָאָ֔רֶץ אֲשֶׁ֥ר נִשְׁבַּ֖עְתִּי לַאֲבֹתָ֑ם ,יִרְאוּ֙ ,אֲבֹתָ֑ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,529976,529977
"('Numbers', 14, 24)-('Numbers', 14, 24)",אֲשֶׁר־בָּ֣א שָׁ֔מָּה וְזַרְעֹ֖ו יֹורִשֶֽׁנָּה׃ ,בָּ֣א ,זַרְעֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,529983,529984
"('Numbers', 15, 31)-('Numbers', 15, 31)",כִּ֤י דְבַר־יְהוָה֙ בָּזָ֔ה וְאֶת־מִצְוָתֹ֖ו הֵפַ֑ר ,בָּזָ֔ה ,מִצְוָתֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,530155,530156
"('Numbers', 24, 8)-('Numbers', 24, 8)",וְעַצְמֹתֵיהֶ֛ם יְגָרֵ֖ם וְחִצָּ֥יו יִמְחָֽץ׃ ,יְגָרֵ֖ם ,חִצָּ֥יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,531271,531272
"('Numbers', 25, 18)-('Numbers', 25, 18)",אֲשֶׁר־נִכְּל֥וּ לָכֶ֖ם עַל־דְּבַר־פְּעֹ֑ור וְעַל־דְּבַ֞ר כָּזְבִּ֨י בַת־נְשִׂ֤יא מִדְיָן֙ אֲחֹתָ֔ם ,נִכְּל֥וּ ,אֲחֹתָ֔ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,531404,531405
"('Numbers', 28, 15)-('Numbers', 28, 15)",וּשְׂעִ֨יר עִזִּ֥ים אֶחָ֛ד לְחַטָּ֖את לַיהוָ֑ה עַל־עֹלַ֧ת הַתָּמִ֛יד יֵעָשֶׂ֖ה וְנִסְכֹּֽו׃ ס ,יֵעָשֶׂ֖ה ,נִסְכֹּֽו׃ ס ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,531675,531676
"('Numbers', 28, 19)-('Numbers', 28, 20)",תְּמִימִ֖ם יִהְי֥וּ לָכֶֽם׃ וּמִ֨נְחָתָ֔ם סֹ֖לֶת ,יִהְי֥וּ ,מִ֨נְחָתָ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,531683,531684
"('Numbers', 28, 24)-('Numbers', 28, 24)",עַל־עֹולַ֧ת הַתָּמִ֛יד יֵעָשֶׂ֖ה וְנִסְכֹּֽו׃ ,יֵעָשֶׂ֖ה ,נִסְכֹּֽו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,531695,531696
"('Numbers', 28, 31)-('Numbers', 28, 31)",תְּמִימִ֥ם יִהְיוּ־לָכֶ֖ם וְנִסְכֵּיהֶֽם׃ פ ,יִהְיוּ־,נִסְכֵּיהֶֽם׃ פ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,531713,531714
"('Numbers', 29, 8)-('Numbers', 29, 9)",תְּמִימִ֖ם יִהְי֥וּ לָכֶֽם׃ וּמִנְחָתָ֔ם סֹ֖לֶת ,יִהְי֥וּ ,מִנְחָתָ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,531731,531732
"('Numbers', 29, 13)-('Numbers', 29, 14)",תְּמִימִ֥ם יִהְיֽוּ׃ וּמִנְחָתָ֔ם סֹ֖לֶת ,יִהְיֽוּ׃ ,מִנְחָתָ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,531742,531743
"('Numbers', 30, 7)-('Numbers', 30, 7)",וְאִם־הָיֹ֤ו תִֽהְיֶה֙ לְאִ֔ישׁ וּנְדָרֶ֖יהָ עָלֶ֑יהָ ,תִֽהְיֶה֙ ,נְדָרֶ֖יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,531804,531805
"('Numbers', 36, 4)-('Numbers', 36, 4)",אֲשֶׁ֥ר תִּהְיֶ֖ינָה לָהֶ֑ם וּמִֽנַּחֲלַת֙ מַטֵּ֣ה אֲבֹתֵ֔ינוּ יִגָּרַ֖ע נַחֲלָתָֽן׃ ,תִּהְיֶ֖ינָה ,נַחֲלָתָֽן׃ ,"('p3', 'f', 'pl')","('p3', 'f', 'pl')",,532463,532464
"('Deuteronomy', 1, 36)-('Deuteronomy', 1, 36)",אֲשֶׁ֥ר דָּֽרַךְ־בָּ֖הּ וּלְבָנָ֑יו ,דָּֽרַךְ־,בָנָ֑יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,532639,532640
"('Deuteronomy', 9, 28)-('Deuteronomy', 9, 28)",אֲשֶׁר־דִּבֶּ֣ר לָהֶ֑ם וּמִשִּׂנְאָתֹ֣ו אֹותָ֔ם ,דִּבֶּ֣ר ,שִּׂנְאָתֹ֣ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,533725,533726
"('Deuteronomy', 10, 11)-('Deuteronomy', 10, 11)",וְיִֽרְשׁ֣וּ אֶת־הָאָ֔רֶץ אֲשֶׁר־נִשְׁבַּ֥עְתִּי לַאֲבֹתָ֖ם ,יִֽרְשׁ֣וּ ,אֲבֹתָ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,533775,533776
"('Deuteronomy', 14, 23)-('Deuteronomy', 14, 23)",אֲשֶׁר־יִבְחַר֮ לְשַׁכֵּ֣ן שְׁמֹ֣ו שָׁם֒ ,יִבְחַר֮ ,שְׁמֹ֣ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,534239,534240
"('Deuteronomy', 19, 11)-('Deuteronomy', 19, 12)",וְנָ֕ס אֶל־אַחַ֖ת הֶעָרִ֥ים הָאֵֽל׃ וְשָֽׁלְחוּ֙ זִקְנֵ֣י עִירֹ֔ו ,נָ֕ס ,עִירֹ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,534682,534683
"('Deuteronomy', 19, 19)-('Deuteronomy', 19, 19)",כַּאֲשֶׁ֥ר זָמַ֖ם לַעֲשֹׂ֣ות לְאָחִ֑יו ,זָמַ֖ם ,אָחִ֑יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,534709,534710
"('Deuteronomy', 20, 18)-('Deuteronomy', 20, 18)",לְמַ֗עַן אֲשֶׁ֨ר לֹֽא־יְלַמְּד֤וּ אֶתְכֶם֙ לַעֲשֹׂ֔ות כְּכֹל֙ תֹּֽועֲבֹתָ֔ם ,יְלַמְּד֤וּ ,תֹּֽועֲבֹתָ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,534807,534808
"('Deuteronomy', 22, 25)-('Deuteronomy', 22, 25)",אֲשֶׁר־שָׁכַ֥ב עִמָּ֖הּ לְבַדֹּֽו׃ ,שָׁכַ֥ב ,בַדֹּֽו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,535033,535034
"('Deuteronomy', 32, 37)-('Deuteronomy', 32, 38)",חָסָ֥יוּ בֹֽו׃ אֲשֶׁ֨ר חֵ֤לֶב זְבָחֵ֨ימֹו֙ יֹאכֵ֔לוּ ,חָסָ֥יוּ ,זְבָחֵ֨ימֹו֙ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,536287,536288
"('Deuteronomy', 33, 9)-('Deuteronomy', 33, 9)",וְאֶת־אֶחָיו֙ לֹ֣א הִכִּ֔יר וְאֶת־בָּנָ֖יו לֹ֣א יָדָ֑ע ,הִכִּ֔יר ,בָּנָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,536382,536383
"('Judges', 2, 20)-('Judges', 2, 20)",יַעַן֩ אֲשֶׁ֨ר עָבְר֜וּ הַגֹּ֣וי הַזֶּ֗ה אֶת־בְּרִיתִי֙ אֲשֶׁ֣ר צִוִּ֣יתִי אֶת־אֲבֹותָ֔ם ,עָבְר֜וּ ,אֲבֹותָ֔ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,539111,539112
"('Judges', 13, 6)-('Judges', 13, 6)",אִ֤ישׁ הָאֱלֹהִים֙ בָּ֣א אֵלַ֔י וּמַרְאֵ֕הוּ כְּמַרְאֵ֛ה מַלְאַ֥ךְ הָאֱלֹהִ֖ים ,בָּ֣א ,מַרְאֵ֕הוּ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,540583,540584
"('1_Samuel', 3, 13)-('1_Samuel', 3, 13)",אֲשֶׁר־יָדַ֗ע כִּֽי־מְקַֽלְלִ֤ים לָהֶם֙ בָּנָ֔יו ,יָדַ֗ע ,בָּנָ֔יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,542172,542173
"('1_Samuel', 6, 3)-('1_Samuel', 6, 3)",וְנֹודַ֣ע לָכֶ֔ם לָ֛מָּה לֹא־תָס֥וּר יָדֹ֖ו מִכֶּֽם׃ ,נֹודַ֣ע ,יָדֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,542400,542401
"('1_Samuel', 10, 4)-('1_Samuel', 10, 4)",וְנָתְנ֤וּ לְךָ֙ שְׁתֵּי־לֶ֔חֶם וְלָקַחְתָּ֖ מִיָּדָֽם׃ ,נָתְנ֤וּ ,יָּדָֽם׃ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,542839,542840
"('1_Samuel', 19, 4)-('1_Samuel', 19, 4)",כִּ֣י לֹ֤וא חָטָא֙ לָ֔ךְ וְכִ֥י מַעֲשָׂ֖יו טֹוב־לְךָ֥ מְאֹֽד׃ ,חָטָא֙ ,מַעֲשָׂ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,544241,544242
"('1_Samuel', 23, 23)-('1_Samuel', 23, 23)",וְהָיָה֙ אִם־יֶשְׁנֹ֣ו בָאָ֔רֶץ ,הָיָה֙ ,יֶשְׁנֹ֣ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,544882,544883
"('2_Samuel', 7, 12)-('2_Samuel', 7, 12)",אֲשֶׁ֥ר יֵצֵ֖א מִמֵּעֶ֑יךָ וַהֲכִינֹתִ֖י אֶת־מַמְלַכְתֹּֽו׃ ,יֵצֵ֖א ,מַמְלַכְתֹּֽו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,546622,546623
"('2_Samuel', 13, 6)-('2_Samuel', 13, 6)",וּתְלַבֵּ֤ב לְעֵינַי֙ שְׁתֵּ֣י לְבִבֹ֔ות וְאֶבְרֶ֖ה מִיָּדָֽהּ׃ ,תְלַבֵּ֤ב ,יָּדָֽהּ׃ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,547253,547254
"('2_Samuel', 23, 2)-('2_Samuel', 23, 2)",ר֥וּחַ יְהוָ֖ה דִּבֶּר־בִּ֑י וּמִלָּתֹ֖ו עַל־לְשֹׁונִֽי׃ ,דִּבֶּר־,מִלָּתֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,548874,548875
"('1_Kings', 2, 23)-('1_Kings', 2, 23)",וְכֹ֣ה יֹוסִ֔יף כִּ֣י בְנַפְשֹׁ֔ו דִּבֶּר֙ אֲדֹ֣נִיָּ֔הוּ אֶת־הַדָּבָ֖ר הַזֶּֽה׃ ,יֹוסִ֔יף ,נַפְשֹׁ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,549477,549478
"('1_Kings', 8, 35)-('1_Kings', 8, 35)",וְהֹוד֣וּ אֶת־שְׁמֶ֔ךָ וּמֵחַטָּאתָ֥ם יְשׁוּב֖וּן ,הֹוד֣וּ ,חַטָּאתָ֥ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,550369,550370
"('1_Kings', 8, 50)-('1_Kings', 8, 50)",אֲשֶׁ֣ר חָֽטְאוּ־לָ֔ךְ וּלְכָל־פִּשְׁעֵיהֶ֖ם ,חָֽטְאוּ־,פִּשְׁעֵיהֶ֖ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,550447,550448
"('1_Kings', 21, 29)-('1_Kings', 21, 29)",יַ֜עַן כִּֽי־נִכְנַ֣ע מִפָּנַ֗י לֹֽא־אָבִ֤יא הָֽרָעָה֙ בְּיָמָ֔יו ,נִכְנַ֣ע ,יָמָ֔יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,552586,552587
"('2_Kings', 18, 29)-('2_Kings', 18, 29)",כִּי־לֹ֣א יוּכַ֔ל לְהַצִּ֥יל אֶתְכֶ֖ם מִיָּדֹֽו׃ ,יוּכַ֔ל ,יָּדֹֽו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,555460,555461
"('Isaiah', 1, 27)-('Isaiah', 1, 27)",צִיֹּ֖ון בְּמִשְׁפָּ֣ט תִּפָּדֶ֑ה וְשָׁבֶ֖יהָ בִּצְדָקָֽה׃ ,תִּפָּדֶ֑ה ,שָׁבֶ֖יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,556441,556442
"('Isaiah', 6, 10)-('Isaiah', 6, 10)",וּבְאָזְנָ֣יו יִשְׁמָ֗ע וּלְבָבֹ֥ו יָבִ֛ין ,יִשְׁמָ֗ע ,לְבָבֹ֥ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,556806,556807
"('Isaiah', 10, 7)-('Isaiah', 10, 7)",וְהוּא֙ לֹא־כֵ֣ן יְדַמֶּ֔ה וּלְבָבֹ֖ו לֹא־כֵ֣ן יַחְשֹׁ֑ב ,יְדַמֶּ֔ה ,לְבָבֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,557117,557118
"('Isaiah', 14, 17)-('Isaiah', 14, 17)",וְעָרָ֣יו הָרָ֑ס אֲסִירָ֖יו לֹא־פָ֥תַח בָּֽיְתָה׃ ,הָרָ֑ס ,אֲסִירָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,557430,557431
"('Isaiah', 28, 21)-('Isaiah', 28, 21)",כְּעֵ֖מֶק בְּגִבְעֹ֣ון יִרְגָּ֑ז לַעֲשֹׂ֤ות מַעֲשֵׂ֨הוּ֙ ,יִרְגָּ֑ז ,מַעֲשֵׂ֨הוּ֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,558421,558422
"('Isaiah', 29, 8)-('Isaiah', 29, 8)",וְהֵקִיץ֮ וְרֵיקָ֣ה נַפְשֹׁו֒ ,הֵקִיץ֮ ,נַפְשֹׁו֒ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,558483,558484
"('Isaiah', 33, 16)-('Isaiah', 33, 16)",ה֚וּא מְרֹומִ֣ים יִשְׁכֹּ֔ן מְצָדֹ֥ות סְלָעִ֖ים מִשְׂגַּבֹּ֑ו ,יִשְׁכֹּ֔ן ,מִשְׂגַּבֹּ֑ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,558902,558903
"('Isaiah', 34, 3)-('Isaiah', 34, 3)",וְחַלְלֵיהֶ֣ם יֻשְׁלָ֔כוּ וּפִגְרֵיהֶ֖ם ,יֻשְׁלָ֔כוּ ,פִגְרֵיהֶ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,558954,558955
"('Isaiah', 34, 10)-('Isaiah', 34, 10)",לַ֤יְלָה וְיֹומָם֙ לֹ֣א תִכְבֶּ֔ה לְעֹולָ֖ם יַעֲלֶ֣ה עֲשָׁנָ֑הּ ,תִכְבֶּ֔ה ,עֲשָׁנָ֑הּ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,558978,558979
"('Isaiah', 34, 16)-('Isaiah', 34, 16)",ה֣וּא צִוָּ֔ה וְרוּחֹ֖ו ,צִוָּ֔ה ,רוּחֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,559006,559007
"('Isaiah', 40, 10)-('Isaiah', 40, 10)",הִנֵּ֨ה אֲדֹנָ֤י יְהוִה֙ בְּחָזָ֣ק יָבֹ֔וא וּזְרֹעֹ֖ו מֹ֣שְׁלָה לֹ֑ו ,יָבֹ֔וא ,זְרֹעֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,559497,559498
"('Isaiah', 40, 11)-('Isaiah', 40, 11)",כְּרֹעֶה֙ עֶדְרֹ֣ו יִרְעֶ֔ה בִּזְרֹעֹו֙ יְקַבֵּ֣ץ טְלָאִ֔ים ,יִרְעֶ֔ה ,זְרֹעֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,559501,559502
"('Isaiah', 40, 11)-('Isaiah', 40, 11)",בִּזְרֹעֹו֙ יְקַבֵּ֣ץ טְלָאִ֔ים וּבְחֵיקֹ֖ו יִשָּׂ֑א ,יְקַבֵּ֣ץ ,חֵיקֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,559502,559503
"('Isaiah', 40, 24)-('Isaiah', 40, 24)",אַ֚ף בַּל־זֹרָ֔עוּ אַ֛ף בַּל־שֹׁרֵ֥שׁ בָּאָ֖רֶץ גִּזְעָ֑ם ,זֹרָ֔עוּ ,גִּזְעָ֑ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,559552,559553
"('Isaiah', 41, 28)-('Isaiah', 41, 29)",וְיָשִׁ֥יבוּ דָבָֽר׃ הֵ֣ן כֻּלָּ֔ם אָ֥וֶן ,יָשִׁ֥יבוּ ,כֻּלָּ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,559738,559739
"('Isaiah', 42, 13)-('Isaiah', 42, 13)",אַף־יַצְרִ֔יחַ עַל־אֹיְבָ֖יו יִתְגַּבָּֽר׃ ס ,יַצְרִ֔יחַ ,אֹיְבָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,559795,559796
"('Isaiah', 44, 9)-('Isaiah', 44, 9)",וַחֲמוּדֵיהֶ֖ם בַּל־יֹועִ֑ילוּ וְעֵדֵיהֶ֣ם הֵ֗ׄמָּׄהׄ ,יֹועִ֑ילוּ ,עֵדֵיהֶ֣ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,560033,560034
"('Isaiah', 46, 7)-('Isaiah', 46, 7)",וְיַֽעֲמֹ֔ד מִמְּקֹומֹ֖ו לֹ֣א יָמִ֑ישׁ ,יַֽעֲמֹ֔ד ,מְּקֹומֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,560335,560336
"('Isaiah', 46, 7)-('Isaiah', 46, 7)",וְלֹ֣א יַעֲנֶ֔ה מִצָּרָתֹ֖ו לֹ֥א יֹושִׁיעֶֽנּוּ׃ ס ,יַעֲנֶ֔ה ,צָּרָתֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,560338,560339
"('Isaiah', 51, 6)-('Isaiah', 51, 6)",וְהָאָ֨רֶץ֙ כַּבֶּ֣גֶד תִּבְלֶ֔ה וְיֹשְׁבֶ֖יהָ כְּמֹו־כֵ֣ן יְמוּת֑וּן ,תִּבְלֶ֔ה ,יֹשְׁבֶ֖יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,560797,560798
