reference,text,verb,pronominal,verb_PGN,suffx_PGN,same?,verb_ca,pron_ca
"('Job', 21, 20)-('Job', 21, 21)",וּמֵחֲמַ֖ת שַׁדַּ֣י יִשְׁתֶּֽה׃ כִּ֤י מַה־חֶפְצֹ֣ו בְּבֵיתֹ֣ו אַחֲרָ֑יו ,יִשְׁתֶּֽה׃ ,חֶפְצֹ֣ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,587849,587850
"('Job', 21, 33)-('Job', 21, 33)",וְ֭אַחֲרָיו כָּל־אָדָ֣ם יִמְשֹׁ֑וךְ וּ֝לְפָנָ֗יו ,יִמְשֹׁ֑וךְ ,פָנָ֗יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,587879,587880
"('Job', 27, 19)-('Job', 27, 19)",וְלֹ֣א יֵאָסֵ֑ף עֵינָ֖יו פָּקַ֣ח ,יֵאָסֵ֑ף ,עֵינָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,588174,588175
"('Job', 27, 22)-('Job', 27, 22)",וְלֹ֣א יַחְמֹ֑ל מִ֝יָּדֹ֗ו בָּרֹ֥וחַ יִבְרָֽח׃ ,יַחְמֹ֑ל ,יָּדֹ֗ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,588183,588184
"('Job', 29, 10)-('Job', 29, 10)",קֹול־נְגִידִ֥ים נֶחְבָּ֑אוּ וּ֝לְשֹׁונָ֗ם לְחִכָּ֥ם דָּבֵֽקָה׃ ,נֶחְבָּ֑אוּ ,לְשֹׁונָ֗ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,588278,588279
"('Job', 29, 23)-('Job', 29, 23)",וְיִֽחֲל֣וּ כַמָּטָ֣ר לִ֑י וּ֝פִיהֶ֗ם פָּעֲר֥וּ לְמַלְקֹֽושׁ׃ ,יִֽחֲל֣וּ ,פִיהֶ֗ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,588313,588314
"('Job', 29, 24)-('Job', 29, 25)",וְאֹ֥ור פָּ֝נַ֗י לֹ֣א יַפִּילֽוּן׃ אֶֽבֲחַ֣ר דַּרְכָּם֮ ,יַפִּילֽוּן׃ ,דַּרְכָּם֮ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,588317,588318
"('Job', 30, 8)-('Job', 30, 9)",נִ֝כְּא֗וּ מִן־הָאָֽרֶץ׃ וְ֭עַתָּה נְגִינָתָ֣ם הָיִ֑יתִי ,נִ֝כְּא֗וּ ,נְגִינָתָ֣ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,588343,588344
"('Job', 31, 31)-('Job', 31, 31)",מִֽי־יִתֵּ֥ן מִ֝בְּשָׂרֹ֗ו לֹ֣א נִשְׂבָּֽע׃ ,יִתֵּ֥ן ,בְּשָׂרֹ֗ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,588476,588477
"('Job', 31, 38)-('Job', 31, 38)",אִם־עָ֭לַי אַדְמָתִ֣י תִזְעָ֑ק וְ֝יַ֗חַד תְּלָמֶ֥יהָ יִבְכָּיֽוּן׃ ,תִזְעָ֑ק ,תְּלָמֶ֥יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,588494,588495
"('Job', 34, 35)-('Job', 34, 35)",אִ֭יֹּוב לֹא־בְדַ֣עַת יְדַבֵּ֑ר וּ֝דְבָרָ֗יו לֹ֣א ,יְדַבֵּ֑ר ,דְבָרָ֗יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,588764,588765
"('Job', 39, 3)-('Job', 39, 3)",תִּ֭כְרַעְנָה יַלְדֵיהֶ֣ן תְּפַלַּ֑חְנָה ,תִּ֭כְרַעְנָה ,יַלְדֵיהֶ֣ן ,"('p3', 'f', 'pl')","('p3', 'f', 'pl')",,589073,589074
"('Job', 39, 5)-('Job', 39, 6)",מִ֣י פִתֵּֽחַ׃ אֲשֶׁר־שַׂ֣מְתִּי עֲרָבָ֣ה בֵיתֹ֑ו ,פִתֵּֽחַ׃ ,בֵיתֹ֑ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,589083,589084
"('Job', 40, 15)-('Job', 40, 16)",חָ֝צִ֗יר כַּבָּקָ֥ר יֹאכֵֽל׃ הִנֵּה־נָ֣א כֹחֹ֣ו בְמָתְנָ֑יו ,יֹאכֵֽל׃ ,כֹחֹ֣ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,589183,589184
"('Job', 41, 5)-('Job', 41, 6)",מִ֣י יָבֹֽוא׃ דַּלְתֵ֣י פָ֭נָיו ,יָבֹֽוא׃ ,פָ֭נָיו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,589235,589236
"('Job', 41, 6)-('Job', 41, 6)",מִ֣י פִתֵּ֑חַ סְבִיבֹ֖ות שִׁנָּ֣יו אֵימָֽה׃ ,פִתֵּ֑חַ ,שִׁנָּ֣יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,589237,589238
"('Job', 41, 13)-('Job', 41, 14)",וְ֝לַ֗הַב מִפִּ֥יו יֵצֵֽא׃ בְּֽ֭צַוָּארֹו יָלִ֣ין עֹ֑ז ,יֵצֵֽא׃ ,צַוָּארֹו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,589255,589256
"('Job', 41, 15)-('Job', 41, 16)",בַּל־יִמֹּֽוט׃ לִ֭בֹּו יָצ֣וּק כְּמֹו־אָ֑בֶן ,יִמֹּֽוט׃ ,לִ֭בֹּו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,589260,589261
"('Job', 42, 8)-('Job', 42, 8)",וְאִיֹּ֣וב עַבְדִּ֔י יִתְפַּלֵּ֖ל עֲלֵיכֶ֑ם כִּ֧י אִם־פָּנָ֣יו אֶשָּׂ֗א ,יִתְפַּלֵּ֖ל ,פָּנָ֣יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,589311,589312
"('Proverbs', 2, 6)-('Proverbs', 2, 6)",כִּֽי־יְ֭הוָה יִתֵּ֣ן חָכְמָ֑ה מִ֝פִּ֗יו דַּ֣עַת וּתְבוּנָֽה׃ ,יִתֵּ֣ן ,פִּ֗יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,589441,589442
"('Proverbs', 2, 14)-('Proverbs', 2, 15)",יָ֝גִ֗ילוּ בְּֽתַהְפֻּכֹ֥ות רָֽע׃ אֲשֶׁ֣ר אָרְחֹתֵיהֶ֣ם עִקְּשִׁ֑ים ,יָ֝גִ֗ילוּ ,אָרְחֹתֵיהֶ֣ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,589460,589461
"('Proverbs', 3, 19)-('Proverbs', 3, 20)",כֹּונֵ֥ן שָׁ֝מַ֗יִם בִּתְבוּנָֽה׃ בְּ֭דַעְתֹּו תְּהֹומֹ֣ות נִבְקָ֑עוּ ,כֹּונֵ֥ן ,דַעְתֹּו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,589525,589526
"('Proverbs', 4, 16)-('Proverbs', 4, 16)",אִם־לֹ֣א יָרֵ֑עוּ וְֽנִגְזְלָ֥ה שְׁ֝נָתָ֗ם ,יָרֵ֑עוּ ,שְׁ֝נָתָ֗ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,589619,589620
