reference,text,verb,pronominal,verb_PGN,suffx_PGN,same?,verb_ca,pron_ca
"('Daniel', 3, 28)-('Daniel', 3, 28)",וְלָֽא־יִסְגְּדוּן֙ לְכָל־אֱלָ֔הּ לָהֵ֖ן לֵאלָֽהֲהֹֽון׃ ,יִסְגְּדוּן֙ ,אלָֽהֲהֹֽון׃ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,595593,595594
"('Daniel', 4, 16)-('Daniel', 4, 16)",אֶשְׁתֹּומַם֙ כְּשָׁעָ֣ה חֲדָ֔ה וְרַעְיֹנֹ֖הִי יְבַהֲלֻנֵּ֑הּ ,אֶשְׁתֹּומַם֙ ,רַעְיֹנֹ֖הִי ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,595685,595686
"('Daniel', 4, 30)-('Daniel', 4, 30)",עַ֣ד דִּ֥י שַׂעְרֵ֛הּ כְּנִשְׁרִ֥ין רְבָ֖ה וְטִפְרֹ֥והִי כְצִפְּרִֽין׃ ,רְבָ֖ה ,טִפְרֹ֥והִי ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,595775,595776
"('Daniel', 6, 18)-('Daniel', 6, 18)",וְשֻׂמַ֖ת עַל־פֻּ֣ם גֻּבָּ֑א וְחַתְמַ֨הּ מַלְכָּ֜א בְּעִזְקְתֵ֗הּ וּבְעִזְקָת֙ רַבְרְבָנֹ֔והִי ,שֻׂמַ֖ת ,עִזְקְתֵ֗הּ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,596064,596065
"('Daniel', 6, 27)-('Daniel', 6, 27)",דִּֽי־לָ֣א תִתְחַבַּ֔ל וְשָׁלְטָנֵ֖הּ עַד־סֹופָֽא׃ ,תִתְחַבַּ֔ל ,שָׁלְטָנֵ֖הּ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,596115,596116
"('Daniel', 7, 27)-('Daniel', 7, 27)",וּמַלְכוּתָ֨ה וְשָׁלְטָנָ֜א וּרְבוּתָ֗א דִּ֚י מַלְכְוָת֙ תְּחֹ֣ות כָּל־שְׁמַיָּ֔א יְהִיבַ֕ת לְעַ֖ם קַדִּישֵׁ֣י עֶלְיֹונִ֑ין מַלְכוּתֵהּ֙ מַלְכ֣וּת עָלַ֔ם ,יְהִיבַ֕ת ,מַלְכוּתֵהּ֙ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,596255,596256
"('Ezra', 4, 8)-('Ezra', 4, 9)",רְח֣וּם בְּעֵל־טְעֵ֗ם וְשִׁמְשַׁי֙ סָֽפְרָ֔א כְּתַ֛בוּ אִגְּרָ֥ה חֲדָ֖ה עַל־יְרוּשְׁלֶ֑ם לְאַרְתַּחְשַׁ֥שְׂתְּא מַלְכָּ֖א כְּנֵֽמָא׃ אֱדַ֜יִן רְח֣וּם בְּעֵל־טְעֵ֗ם וְשִׁמְשַׁי֙ סָֽפְרָ֔א וּשְׁאָ֖ר כְּנָוָתְהֹ֑ון דִּ֠ינָיֵא וַאֲפַרְסַתְכָיֵ֞א טַרְפְּלָיֵ֣א אֲפָֽרְסָיֵ֗א אַרְכְּוָיֵ֤א בָבְלָיֵא֙ שֽׁוּשַׁנְכָיֵ֔א דֶּהָיֵ֖א עֵלְמָיֵֽא׃ ,כְּתַ֛בוּ ,כְּנָוָתְהֹ֑ון ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,597149,597150
