reference,text,same?,notes,verb,pronominal,verb_PGN,suffx_PGN,vb_Cl_type,pn_Cl_type,verb_ca,pron_ca
Genesis 29:9,וְרָחֵ֣ל׀ בָּ֗אָה עִם־הַצֹּאן֙ אֲשֶׁ֣ר לְאָבִ֔יהָ ,,,בָּ֗אָה ,אָבִ֔יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",WXQt,NmCl,517707,517708
Genesis 29:33,וַיִּתֶּן־לִ֖י גַּם־אֶת־זֶ֑ה וַתִּקְרָ֥א שְׁמֹ֖ו שִׁמְעֹֽון׃ ,,,יִּתֶּן־,שְׁמֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,Way0,517802,517803
Genesis 31:18,אֲשֶׁ֥ר רָכַ֖שׁ בְּפַדַּ֣ן אֲרָ֑ם לָבֹ֛וא אֶל־יִצְחָ֥ק אָבִ֖יו אַ֥רְצָה כְּנָֽעַן׃ ,,,רָכַ֖שׁ ,אָבִ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,InfC,518064,518065
Genesis 31:19,וְלָבָ֣ן הָלַ֔ךְ לִגְזֹ֖ז אֶת־צֹאנֹ֑ו ,,,הָלַ֔ךְ ,צֹאנֹ֑ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,InfC,518066,518067
Genesis 34:13,וַיְדַבֵּ֑רוּ אֲשֶׁ֣ר טִמֵּ֔א אֵ֖ת דִּינָ֥ה אֲחֹתָֽם׃ ,,,יְדַבֵּ֑רוּ ,אֲחֹתָֽם׃ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,xQt0,518497,518498
Genesis 34:28-29,לָקָֽחוּ׃ וְאֶת־כָּל־חֵילָ֤ם וְאֶת־כָּל־טַפָּם֙ וְאֶת־נְשֵׁיהֶ֔ם שָׁב֖וּ ,,,לָקָֽחוּ׃ ,חֵילָ֤ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",ZQt0,WxQ0,518558,518559
Genesis 35:4,וַיִּתְּנ֣וּ אֶֽל־יַעֲקֹ֗ב אֵ֣ת כָּל־אֱלֹהֵ֤י הַנֵּכָר֙ אֲשֶׁ֣ר בְּיָדָ֔ם ,,,יִּתְּנ֣וּ ,יָדָ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,NmCl,518591,518592
Genesis 37:11-12,וְאָבִ֖יו שָׁמַ֥ר אֶת־הַדָּבָֽר׃ וַיֵּלְכ֖וּ אֶחָ֑יו ,,,שָׁמַ֥ר ,אֶחָ֑יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,WayX,518832,518833
Genesis 38:1,וַיֵּ֛ט עַד־אִ֥ישׁ עֲדֻלָּמִ֖י וּשְׁמֹ֥ו חִירָֽה׃ ,,,יֵּ֛ט ,שְׁמֹ֥ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,518958,518959
Genesis 38:16,כִּ֚י לֹ֣א יָדַ֔ע כִּ֥י כַלָּתֹ֖ו הִ֑וא ,,,יָדַ֔ע ,כַלָּתֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,NmCl,519022,519023
Genesis 39:7,וַיְהִ֗י אַחַר֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה וַתִּשָּׂ֧א אֵֽשֶׁת־אֲדֹנָ֛יו אֶת־עֵינֶ֖יהָ אֶל־יֹוסֵ֑ף ,,,יְהִ֗י ,אֲדֹנָ֛יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WayX,519136,519137
Genesis 39:19,וַיְהִי֩ כִשְׁמֹ֨עַ אֲדֹנָ֜יו אֶת־דִּבְרֵ֣י אִשְׁתֹּ֗ו ,,,יְהִי֩ ,אֲדֹנָ֜יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,InfC,519200,519201
Genesis 41:8,וַיְהִ֤י בַבֹּ֨קֶר֙ וַתִּפָּ֣עֶם רוּחֹ֔ו ,,,יְהִ֤י ,רוּחֹ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WayX,519320,519321
Genesis 43:16,וַיֹּ֨אמֶר֙ לַֽאֲשֶׁ֣ר עַל־בֵּיתֹ֔ו ,,,יֹּ֨אמֶר֙ ,בֵּיתֹ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,519761,519762
Genesis 43:26,וַיָּבִ֥יאּוּ לֹ֛ו אֶת־הַמִּנְחָ֥ה אֲשֶׁר־בְּיָדָ֖ם ,,,יָּבִ֥יאּוּ ,יָדָ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,NmCl,519811,519812
Genesis 44:1,וַיְצַ֞ו אֶת־אֲשֶׁ֣ר עַל־בֵּיתֹו֮ ,,,יְצַ֞ו ,בֵּיתֹו֮ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,519859,519860
Genesis 44:4,וְיֹוסֵ֤ף אָמַר֙ לַֽאֲשֶׁ֣ר עַל־בֵּיתֹ֔ו ,,,אָמַר֙ ,בֵּיתֹ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,NmCl,519874,519875
Genesis 45:15,וַיֵּ֣בְךְּ עֲלֵיהֶ֑ם וְאַ֣חֲרֵי כֵ֔ן דִּבְּר֥וּ אֶחָ֖יו אִתֹּֽו׃ ,,,יֵּ֣בְךְּ ,אֶחָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WxQX,520078,520079
Exodus 2:10,וַֽיְהִי־לָ֖הּ לְבֵ֑ן וַתִּקְרָ֤א שְׁמֹו֙ מֹשֶׁ֔ה ,,,יְהִי־,שְׁמֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,Way0,520833,520834
Exodus 2:16,וַתְּמַלֶּ֨אנָה֙ אֶת־הָ֣רְהָטִ֔ים לְהַשְׁקֹ֖ות צֹ֥אן אֲבִיהֶֽן׃ ,,,תְּמַלֶּ֨אנָה֙ ,אֲבִיהֶֽן׃ ,"('p3', 'f', 'pl')","('p3', 'f', 'pl')",Way0,InfC,520871,520872
Exodus 2:23,וַיִּזְעָ֑קוּ וַתַּ֧עַל שַׁוְעָתָ֛ם אֶל־הָאֱלֹהִ֖ים מִן־הָעֲבֹדָֽה׃ ,,,יִּזְעָ֑קוּ ,שַׁוְעָתָ֛ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WayX,520902,520903
Exodus 7:12,וַיִּהְי֖וּ לְתַנִּינִ֑ם וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן אֶת־מַטֹּתָֽם׃ ,,,יִּהְי֖וּ ,מַטֹּתָֽם׃ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WayX,521414,521415
Exodus 7:20,וַיַּ֤ךְ אֶת־הַמַּ֨יִם֙ אֲשֶׁ֣ר בַּיְאֹ֔ר לְעֵינֵ֣י פַרְעֹ֔ה וּלְעֵינֵ֖י עֲבָדָ֑יו ,,,יַּ֤ךְ ,עֲבָדָ֑יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,521462,521463
Exodus 13:20-21,וַיַּחֲנ֣וּ בְאֵתָ֔ם בִּקְצֵ֖ה הַמִּדְבָּֽר׃ וַֽיהוָ֡ה הֹלֵךְ֩ לִפְנֵיהֶ֨ם ,,,יַּחֲנ֣וּ ,פְנֵיהֶ֨ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,Ptcp,522206,522207
Exodus 32:3,וַיִּתְפָּֽרְקוּ֙ כָּל־הָעָ֔ם אֶת־נִזְמֵ֥י הַזָּהָ֖ב אֲשֶׁ֣ר בְּאָזְנֵיהֶ֑ם ,,,יִּתְפָּֽרְקוּ֙ ,אָזְנֵיהֶ֑ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",WayX,NmCl,524165,524166
Exodus 32:3-4,וַיָּבִ֖יאוּ אֶֽל־אַהֲרֹֽן׃ וַיִּקַּ֣ח מִיָּדָ֗ם ,,,יָּבִ֖יאוּ ,יָּדָ֗ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,Way0,524167,524168
Exodus 32:14,אֲשֶׁ֥ר דִּבֶּ֖ר לַעֲשֹׂ֥ות לְעַמֹּֽו׃ פ ,,,דִּבֶּ֖ר ,עַמֹּֽו׃ פ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,InfC,524233,524234
