reference,text,same?,notes,verb,pronominal,verb_PGN,suffx_PGN,vb_Cl_type,pn_Cl_type,verb_ca,pron_ca
2_Samuel 4:4,וַיִּפָּסֵ֖חַ וּשְׁמֹ֥ו מְפִיבֹֽשֶׁת׃ ,,,יִּפָּסֵ֖חַ ,שְׁמֹ֥ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,546342,546343
2_Samuel 10:8,וַיַּעַרְכ֥וּ מִלְחָמָ֖ה פֶּ֣תַח הַשָּׁ֑עַר וַאֲרַ֨ם צֹובָ֤א וּרְחֹוב֙ וְאִֽישׁ־טֹ֣וב וּמַֽעֲכָ֔ה לְבַדָּ֖ם בַּשָּׂדֶֽה׃ ,,,יַּעַרְכ֥וּ ,בַדָּ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,NmCl,546860,546861
2_Samuel 10:16,וַיָּבֹ֖אוּ חֵילָ֑ם וְשֹׁובַ֛ךְ שַׂר־צְבָ֥א הֲדַדְעֶ֖זֶר לִפְנֵיהֶֽם׃ ,,,יָּבֹ֖אוּ ,פְנֵיהֶֽם׃ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,NmCl,546896,546897
2_Samuel 11:13,וַיֵּצֵ֣א בָעֶ֗רֶב לִשְׁכַּ֤ב בְּמִשְׁכָּבֹו֙ עִם־עַבְדֵ֣י אֲדֹנָ֔יו ,,,יֵּצֵ֣א ,מִשְׁכָּבֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,InfC,546976,546977
2_Samuel 12:4,וַיַּחְמֹ֗ל לָקַ֤חַת מִצֹּאנֹו֙ וּמִבְּקָרֹ֔ו ,,,יַּחְמֹ֗ל ,צֹּאנֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,InfC,547062,547063
2_Samuel 12:20-21,וַיֹּאכַֽל׃ וַיֹּאמְר֤וּ עֲבָדָיו֙ אֵלָ֔יו ,,,יֹּאכַֽל׃ ,עֲבָדָיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WayX,547156,547157
2_Samuel 17:23,וַאֲחִיתֹ֣פֶל רָאָ֗ה כִּ֣י לֹ֣א נֶעֶשְׂתָה֮ עֲצָתֹו֒ ,,,רָאָ֗ה ,עֲצָתֹו֒ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,xQtX,548058,548059
2_Samuel 23:10,וַיַּ֨ךְ בַּפְּלִשְׁתִּ֜ים עַ֣ד׀ כִּֽי־יָגְעָ֣ה יָדֹ֗ו ,,,יַּ֨ךְ ,יָדֹ֗ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,xQtX,548909,548910
2_Samuel 24:20,וַיִּשְׁתַּ֧חוּ לַמֶּ֛לֶךְ אַפָּ֖יו אָֽרְצָה׃ ,,,יִּשְׁתַּ֧חוּ ,אַפָּ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,549102,549103
1_Kings 7:2,וַיִּ֜בֶן אֶת־בֵּ֣ית׀ יַ֣עַר הַלְּבָנֹ֗ון מֵאָ֨ה אַמָּ֤ה אָרְכֹּו֙ ,,,יִּ֜בֶן ,אָרְכֹּו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,550039,550040
1_Kings 7:6,וְאֵ֨ת אוּלָ֤ם הָֽעַמּוּדִים֙ עָשָׂ֔ה חֲמִשִּׁ֤ים אַמָּה֙ אָרְכֹּ֔ו ,,,עָשָׂ֔ה ,אָרְכֹּ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WxQ0,NmCl,550052,550053
1_Kings 8:54,קָ֞ם מִלִּפְנֵ֨י מִזְבַּ֤ח יְהוָה֙ מִכְּרֹ֣עַ עַל־בִּרְכָּ֔יו ,,,קָ֞ם ,בִּרְכָּ֔יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",ZQt0,InfC,550464,550465
1_Kings 9:19,אֲשֶׁ֤ר חָשַׁק֙ לִבְנֹ֤ות בִּירוּשָׁלִַ֨ם֙ וּבַלְּבָנֹ֔ון וּבְכֹ֖ל אֶ֥רֶץ מֶמְשַׁלְתֹּֽו׃ ,,,חָשַׁק֙ ,מֶמְשַׁלְתֹּֽו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,InfC,550598,550599
1_Kings 10:2,וַתְּדַבֵּ֣ר אֵלָ֔יו אֵ֛ת כָּל־אֲשֶׁ֥ר הָיָ֖ה עִם־לְבָבָֽהּ׃ ,,,תְּדַבֵּ֣ר ,לְבָבָֽהּ׃ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",Way0,xQt0,550635,550636
1_Kings 10:4-5,אֲשֶׁ֥ר בָּנָֽה׃ וּמַאֲכַ֣ל שֻׁלְחָנֹ֡ו וּמֹושַׁ֣ב עֲבָדָיו֩ וּמַעֲמַ֨ד מְשָׁרְתָ֜יו וּמַלְבֻּֽשֵׁיהֶם֙ וּמַשְׁקָ֔יו וְעֹ֣לָתֹ֔ו ,,,בָּנָֽה׃ ,שֻׁלְחָנֹ֡ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,Defc,550641,550642
1_Kings 11:4,וַיְהִ֗י לְעֵת֙ זִקְנַ֣ת שְׁלֹמֹ֔ה נָשָׁיו֙ הִטּ֣וּ אֶת־לְבָבֹ֔ו אַחֲרֵ֖י אֱלֹהִ֣ים אֲחֵרִ֑ים ,,,יְהִ֗י ,נָשָׁיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,XQtl,550735,550736
1_Kings 15:12,וַיָּ֨סַר֙ אֶת־כָּל־הַגִּלֻּלִ֔ים אֲשֶׁ֥ר עָשׂ֖וּ אֲבֹתָֽיו׃ ,,,יָּ֨סַר֙ ,אֲבֹתָֽיו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,xQtX,551438,551439
1_Kings 15:30,וַאֲשֶׁ֥ר הֶחֱטִ֖יא אֶת־יִשְׂרָאֵ֑ל בְּכַעְסֹ֕ו ,,,הֶחֱטִ֖יא ,כַעְסֹ֕ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WxQ0,Ellp,551510,551511
1_Kings 16:5,וַאֲשֶׁ֥ר עָשָׂ֖ה וּגְבֽוּרָתֹ֑ו ,,,עָשָׂ֖ה ,גְבֽוּרָתֹ֑ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WxQ0,Defc,551537,551538
1_Kings 16:12-13,אֲשֶׁ֣ר דִּבֶּ֣ר אֶל־בַּעְשָׁ֔א בְּיַ֖ד יֵה֥וּא הַנָּבִֽיא׃ אֶ֚ל כָּל־חַטֹּ֣אות בַּעְשָׁ֔א וְחַטֹּ֖אות אֵלָ֣ה בְנֹ֑ו ,,,דִּבֶּ֣ר ,בְנֹ֑ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,Ellp,551566,551567
1_Kings 16:13,וַאֲשֶׁ֤ר הֶחֱטִ֨יאוּ֙ אֶת־יִשְׂרָאֵ֔ל לְהַכְעִ֗יס אֶת־יְהוָ֛ה אֱלֹהֵ֥י יִשְׂרָאֵ֖ל בְּהַבְלֵיהֶֽם׃ ,,,הֶחֱטִ֨יאוּ֙ ,הַבְלֵיהֶֽם׃ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WxQ0,InfC,551569,551570
1_Kings 16:18-19,וַיָּמֹֽת׃ עַל־חַטֹּאתָיו֙ ,,,יָּמֹֽת׃ ,חַטֹּאתָיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,Ellp,551592,551593
1_Kings 16:25,וַיָּ֕רַע מִכֹּ֖ל אֲשֶׁ֥ר לְפָנָֽיו׃ ,,,יָּ֕רַע ,פָנָֽיו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,551622,551623
1_Kings 16:27,אֲשֶׁ֣ר עָשָׂ֔ה וּגְבוּרָתֹ֖ו ,,,עָשָׂ֔ה ,גְבוּרָתֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,Defc,551628,551629
1_Kings 22:38,וַיִּשְׁטֹ֨ף אֶת־הָרֶ֜כֶב עַ֣ל׀ בְּרֵכַ֣ת שֹׁמְרֹ֗ון וַיָּלֹ֤קּוּ הַכְּלָבִים֙ אֶת־דָּמֹ֔ו ,,,יִּשְׁטֹ֨ף ,דָּמֹ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WayX,552775,552776
2_Kings 2:7,וַיַּעַמְד֥וּ מִנֶּ֖גֶד מֵרָחֹ֑וק וּשְׁנֵיהֶ֖ם עָמְד֥וּ עַל־הַיַּרְדֵּֽן׃ ,,,יַּעַמְד֥וּ ,שְׁנֵיהֶ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WXQt,552996,552997
2_Kings 4:12,וַיִּקְרָא־לָ֔הּ וַֽתַּעֲמֹ֖ד לְפָנָֽיו׃ ,,,יִּקְרָא־,פָנָֽיו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,Way0,553296,553297
2_Kings 5:12-13,וַיֵּ֥לֶךְ בְּחֵמָֽה׃ וַיִּגְּשׁ֣וּ עֲבָדָיו֮ ,,,יֵּ֥לֶךְ ,עֲבָדָיו֮ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WayX,553559,553560
2_Kings 8:3,וַתֵּצֵא֙ לִצְעֹ֣ק אֶל־הַמֶּ֔לֶךְ אֶל־בֵּיתָ֖הּ וְאֶל־שָׂדָֽהּ׃ ,,,תֵּצֵא֙ ,בֵּיתָ֖הּ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",Way0,InfC,554010,554011
2_Kings 10:31,וְיֵה֗וּא לֹ֥א שָׁמַ֛ר לָלֶ֛כֶת בְּתֹֽורַת־יְהוָ֥ה אֱלֹהֵֽי־יִשְׂרָאֵ֖ל בְּכָל־לְבָבֹ֑ו ,,,שָׁמַ֛ר ,לְבָבֹ֑ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,InfC,554529,554530
2_Kings 14:5,וַיְהִ֕י כַּאֲשֶׁ֛ר חָזְקָ֥ה הַמַּמְלָכָ֖ה בְּיָדֹ֑ו ,,,יְהִ֕י ,יָדֹ֑ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,xQtX,554857,554858
2_Kings 14:15,אֲשֶׁ֤ר עָשָׂה֙ וּגְב֣וּרָתֹ֔ו ,,,עָשָׂה֙ ,גְב֣וּרָתֹ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,Defc,554907,554908
2_Kings 16:3,וַיֵּ֕לֶךְ בְּדֶ֖רֶךְ מַלְכֵ֣י יִשְׂרָאֵ֑ל וְגַ֤ם אֶת־בְּנֹו֙ הֶעֱבִ֣יר בָּאֵ֔שׁ כְּתֹֽעֲבֹות֙ הַגֹּויִ֔ם ,,,יֵּ֕לֶךְ ,בְּנֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WxQ0,555088,555089
2_Kings 17:11,וַיְקַטְּרוּ־שָׁם֙ בְּכָל־בָּמֹ֔ות כַּגֹּויִ֕ם אֲשֶׁר־הֶגְלָ֥ה יְהוָ֖ה מִפְּנֵיהֶ֑ם ,,,יְקַטְּרוּ־,פְּנֵיהֶ֑ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,xQtX,555193,555194
2_Kings 17:15,וַיִּמְאֲס֣וּ אֶת־חֻקָּ֗יו וְאֶת־בְּרִיתֹו֙ אֲשֶׁ֣ר כָּרַ֣ת אֶת־אֲבֹותָ֔ם ,,,יִּמְאֲס֣וּ ,אֲבֹותָ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,xQt0,555209,555210
2_Kings 17:15,אֲשֶׁ֣ר כָּרַ֣ת אֶת־אֲבֹותָ֔ם וְאֵת֙ עֵֽדְוֹתָ֔יו ,,,כָּרַ֣ת ,עֵֽדְוֹתָ֔יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,Defc,555210,555211
2_Kings 17:40,וְלֹ֖א שָׁמֵ֑עוּ כִּ֛י אִֽם־כְּמִשְׁפָּטָ֥ם הָֽרִאשֹׁ֖ון הֵ֥ם עֹשִֽׂים׃ ,,,שָׁמֵ֑עוּ ,מִשְׁפָּטָ֥ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WxQ0,Ptcp,555325,555326
2_Kings 19:35,וַיַּשְׁכִּ֣ימוּ בַבֹּ֔קֶר וְהִנֵּ֥ה כֻלָּ֖ם פְּגָרִ֥ים מֵתִֽים׃ ,,,יַּשְׁכִּ֣ימוּ ,כֻלָּ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,NmCl,555667,555668
Isaiah 37:36,וַיַּשְׁכִּ֣ימוּ בַבֹּ֔קֶר וְהִנֵּ֥ה כֻלָּ֖ם פְּגָרִ֥ים מֵתִֽים׃ ,,,יַּשְׁכִּ֣ימוּ ,כֻלָּ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,NmCl,559314,559315
Isaiah 44:15-16,וַיִּסְגָּד־לָֽמֹו׃ חֶצְיֹו֙ שָׂרַ֣ף בְּמֹו־אֵ֔שׁ עַל־חֶצְיֹו֙ ,,,יִּסְגָּד־,חֶצְיֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,xQt0,560076,560077
Isaiah 53:9,עַ֚ל לֹא־חָמָ֣ס עָשָׂ֔ה וְלֹ֥א מִרְמָ֖ה בְּפִֽיו׃ ,,,עָשָׂ֔ה ,פִֽיו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,NmCl,561012,561013
Jeremiah 19:5,וּבָנ֞וּ אֶת־בָּמֹ֣ות הַבַּ֗עַל לִשְׂרֹ֧ף אֶת־בְּנֵיהֶ֛ם בָּאֵ֖שׁ עֹלֹ֣ות לַבָּ֑עַל ,,,בָנ֞וּ ,בְּנֵיהֶ֛ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WQt0,InfC,564370,564371
Jeremiah 51:30,יָֽשְׁבוּ֙ בַּמְּצָדֹ֔ות נָשְׁתָ֥ה גְבוּרָתָ֖ם ,,,יָֽשְׁבוּ֙ ,גְבוּרָתָ֖ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",ZQt0,ZQtX,568205,568206
Ezekiel 17:3-4,וַיִּקַּ֖ח אֶת־צַמֶּ֥רֶת הָאָֽרֶז׃ אֵ֛ת רֹ֥אשׁ יְנִֽיקֹותָ֖יו קָטָ֑ף ,,,יִּקַּ֖ח ,יְנִֽיקֹותָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,xQt0,570185,570186
Ezekiel 17:6,וַיְהִי֩ לְגֶ֨פֶן סֹרַ֜חַת שִׁפְלַ֣ת קֹומָ֗ה לִפְנֹ֤ות דָּלִיֹּותָיו֙ אֵלָ֔יו ,,,יְהִי֩ ,דָּלִיֹּותָיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,InfC,570194,570195
Ezekiel 20:16,וְאֶת־שַׁבְּתֹותַ֖י חִלֵּ֑לוּ כִּ֛י אַחֲרֵ֥י גִלּוּלֵיהֶ֖ם לִבָּ֥ם הֹלֵֽךְ׃ ,,,חִלֵּ֑לוּ ,גִלּוּלֵיהֶ֖ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WxQ0,Ptcp,570603,570604
Ezekiel 20:24,וְאֶת־שַׁבְּתֹותַ֖י חִלֵּ֑לוּ וְאַחֲרֵי֙ גִּלּוּלֵ֣י אֲבֹותָ֔ם הָי֖וּ עֵינֵיהֶֽם׃ ,,,חִלֵּ֑לוּ ,אֲבֹותָ֔ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WxQ0,WxQX,570639,570640
Ezekiel 23:3,וַתִּזְנֶ֣ינָה בְמִצְרַ֔יִם בִּנְעוּרֵיהֶ֖ן זָנ֑וּ ,,,תִּזְנֶ֣ינָה ,נְעוּרֵיהֶ֖ן ,"('p3', 'f', 'pl')","('p3', 'f', 'pl')",Way0,xQt0,571062,571063
Ezekiel 23:7-8,בְּכָל־גִּלּוּלֵיהֶ֖ם נִטְמָֽאָה׃ וְאֶת־תַּזְנוּתֶ֤יהָ מִמִּצְרַ֨יִם֙ לֹ֣א עָזָ֔בָה ,,,נִטְמָֽאָה׃ ,תַּזְנוּתֶ֤יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",xQt0,WxQ0,571085,571086
Ezekiel 23:9-10,אֲשֶׁ֥ר עָגְבָ֖ה עֲלֵיהֶֽם׃ הֵמָּה֮ גִּלּ֣וּ עֶרְוָתָהּ֒ ,,,עָגְבָ֖ה ,עֶרְוָתָהּ֒ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",xQt0,XQtl,571091,571092
Ezekiel 36:18,אֲשֶׁר־שָׁפְכ֣וּ עַל־הָאָ֑רֶץ וּבְגִלּוּלֵיהֶ֖ם טִמְּאֽוּהָ׃ ,,,שָׁפְכ֣וּ ,גִלּוּלֵיהֶ֖ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",xQt0,WxQ0,572649,572650
Ezekiel 36:19,וַיִּזָּר֖וּ בָּאֲרָצֹ֑ות כְּדַרְכָּ֥ם וְכַעֲלִילֹותָ֖ם שְׁפַטְתִּֽים׃ ,,,יִּזָּר֖וּ ,דַרְכָּ֥ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,xQt0,572652,572653
Ezekiel 40:6,וַיָּבֹ֗וא אֶל־שַׁ֨עַר֙ אֲשֶׁ֤ר פָּנָיו֙ דֶּ֣רֶךְ הַקָּדִ֔ימָה ,,,יָּבֹ֗וא ,פָּנָיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,573157,573158
Ezekiel 40:21,וְאֵילָ֤יו וְאֵֽלַמָּיו֙ הָיָ֔ה כְּמִדַּ֖ת הַשַּׁ֣עַר הָרִאשֹׁ֑ון חֲמִשִּׁ֤ים אַמָּה֙ אָרְכֹּ֔ו ,,,הָיָ֔ה ,אָרְכֹּ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,NmCl,573215,573216
Ezekiel 40:28-29,וַיָּ֨מָד֙ אֶת־הַשַּׁ֣עַר הַדָּרֹ֔ום כַּמִּדֹּ֖ות הָאֵֽלֶּה׃ וְתָאָ֞יו וְאֵילָ֤יו וְאֵֽלַמָּיו֙ כַּמִּדֹּ֣ות הָאֵ֔לֶּה ,,,יָּ֨מָד֙ ,תָאָ֞יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,573241,573242
Ezekiel 40:32-33,וַיָּ֣מָד אֶת־הַשַּׁ֔עַר כַּמִּדֹּ֖ות הָאֵֽלֶּה׃ וְתָאָ֞יו וְאֵלָ֤יו וְאֵֽלַמָּיו֙ כַּמִּדֹּ֣ות הָאֵ֔לֶּה ,,,יָּ֣מָד ,תָאָ֞יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,573253,573254
Ezekiel 40:35-36,וּמָדַ֖ד כַּמִּדֹּ֥ות הָאֵֽלֶּה׃ תָּאָיו֙ אֵלָ֣יו וְאֵֽלַמָּ֔יו ,,,מָדַ֖ד ,תָּאָיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WQt0,Ellp,573262,573263
Ezekiel 43:2,כְּבֹוד֙ אֱלֹהֵ֣י יִשְׂרָאֵ֔ל בָּ֖א מִדֶּ֣רֶךְ הַקָּדִ֑ים וְקֹולֹ֗ו כְּקֹול֙ מַ֣יִם רַבִּ֔ים ,,,בָּ֖א ,קֹולֹ֗ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",XQtl,NmCl,573506,573507
Ezekiel 43:4,וּכְבֹ֥וד יְהוָ֖ה בָּ֣א אֶל־הַבָּ֑יִת דֶּ֣רֶךְ שַׁ֔עַר אֲשֶׁ֥ר פָּנָ֖יו דֶּ֥רֶךְ הַקָּדִֽים׃ ,,,בָּ֣א ,פָּנָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,NmCl,573518,573519
Micah 2:13,וַיֵּ֣צְאוּ בֹ֑ו וַיַּעֲבֹ֤ר מַלְכָּם֙ לִפְנֵיהֶ֔ם ,,,יֵּ֣צְאוּ ,מַלְכָּם֙ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WayX,576395,576396
Zechariah 3:4,וַיֹּ֗אמֶר אֶל־הָעֹמְדִ֤ים לְפָנָיו֙ ,,,יֹּ֗אמֶר ,פָנָיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,Ptcp,577795,577796
Zechariah 7:11,וַיִּתְּנ֥וּ כָתֵ֖ף סֹרָ֑רֶת וְאָזְנֵיהֶ֖ם הִכְבִּ֥ידוּ ,,,יִּתְּנ֥וּ ,אָזְנֵיהֶ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WxQ0,578075,578076
Psalms 78:32-33,וְלֹֽא־הֶ֝אֱמִ֗ינוּ בְּנִפְלְאֹותָֽיו׃ וַיְכַל־בַּהֶ֥בֶל יְמֵיהֶ֑ם ,,,הֶ֝אֱמִ֗ינוּ ,יְמֵיהֶ֑ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WxQ0,Way0,582871,582872
Psalms 78:53,וְלֹ֣א פָחָ֑דוּ וְאֶת־אֹ֝ויְבֵיהֶ֗ם כִּסָּ֥ה הַיָּֽם׃ ,,,פָחָ֑דוּ ,אֹ֝ויְבֵיהֶ֗ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WxQ0,WxQX,582927,582928
Psalms 78:62-63,וּ֝בְנַחֲלָתֹ֗ו הִתְעַבָּֽר׃ בַּחוּרָ֥יו אָֽכְלָה־אֵ֑שׁ ,,,הִתְעַבָּֽר׃ ,בַּחוּרָ֥יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WxQ0,xQtX,582950,582951
Psalms 105:28,וַיַּחְשִׁ֑ךְ וְלֹֽא־מָ֝ר֗וּ אֶת־דְּבָרֹֽו׃,,,יַּחְשִׁ֑ךְ ,דְּבָרֹֽו׃,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WxQ0,584308,584309
Psalms 105:28-29,וְלֹֽא־מָ֝ר֗וּ אֶת־דְּבָרֹֽו׃הָפַ֣ךְ אֶת־מֵימֵיהֶ֣ם לְדָ֑ם ,,,מָ֝ר֗וּ ,מֵימֵיהֶ֣ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WxQ0,ZQt0,584309,584310
Psalms 106:11-12,אֶחָ֥ד מֵ֝הֶ֗ם לֹ֣א נֹותָֽר׃ וַיַּאֲמִ֥ינוּ בִדְבָרָ֑יו ,,,נֹותָֽר׃ ,דְבָרָ֑יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",XQtl,Way0,584381,584382
Psalms 106:32,וַ֭יַּקְצִיפוּ עַל־מֵ֥י מְרִיבָ֑ה וַיֵּ֥רַע לְ֝מֹשֶׁ֗ה בַּעֲבוּרָֽם׃ ,,,יַּקְצִיפוּ ,עֲבוּרָֽם׃ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,Way0,584427,584428
Psalms 106:32-33,וַיֵּ֥רַע לְ֝מֹשֶׁ֗ה בַּעֲבוּרָֽם׃ כִּֽי־הִמְר֥וּ אֶת־רוּחֹ֑ו ,,,יֵּ֥רַע ,רוּחֹ֑ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,xQt0,584428,584429
Psalms 136:18,וַֽ֭יַּהֲרֹג מְלָכִ֣ים אַדִּירִ֑ים כִּ֖י לְעֹולָ֣ם חַסְדֹּֽו׃ ,,,יַּהֲרֹג ,חַסְדֹּֽו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,585781,585782
Ruth 1:7,אֲשֶׁ֣ר הָיְתָה־שָׁ֔מָּה וּשְׁתֵּ֥י כַלֹּתֶ֖יהָ עִמָּ֑הּ ,,,הָיְתָה־,כַלֹּתֶ֖יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",xQt0,NmCl,591853,591854
Ruth 2:3,וַתְּלַקֵּ֣ט בַּשָּׂדֶ֔ה אַחֲרֵ֖י הַקֹּצְרִ֑ים וַיִּ֣קֶר מִקְרֶ֔הָ ,,,תְּלַקֵּ֣ט ,מִקְרֶ֔הָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",Way0,WayX,591956,591957
Lamentations 4:7,אָ֤דְמוּ עֶ֨צֶם֙ מִפְּנִינִ֔ים סַפִּ֖יר גִּזְרָתָֽם׃ ס ,,,אָ֤דְמוּ ,גִּזְרָתָֽם׃ ס ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",ZQt0,NmCl,594201,594202
Lamentations 4:8,לֹ֥א נִכְּר֖וּ בַּחוּצֹ֑ות צָפַ֤ד עֹורָם֙ עַל־עַצְמָ֔ם ,,,נִכְּר֖וּ ,עֹורָם֙ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",xQt0,ZQtX,594204,594205
Esther 2:9,וַתִּשָּׂ֣א חֶ֣סֶד לְפָנָיו֒ וַ֠יְבַהֵל אֶת־תַּמְרוּקֶ֤יהָ וְאֶת־מָנֹותֶ֨הָ֙ ,,,תִּשָּׂ֣א ,תַּמְרוּקֶ֤יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",Way0,Way0,594436,594437
Esther 7:7,וְהָמָ֣ן עָמַ֗ד לְבַקֵּ֤שׁ עַל־נַפְשֹׁו֙ מֵֽאֶסְתֵּ֣ר הַמַּלְכָּ֔ה ,,,עָמַ֗ד ,נַפְשֹׁו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,InfC,594857,594858
Esther 9:16,נִקְהֲל֣וּ׀ וְעָמֹ֣ד עַל־נַפְשָׁ֗ם ,,,נִקְהֲל֣וּ׀ ,נַפְשָׁ֗ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",ZQt0,InfA,595029,595030
Daniel 9:14,אֲשֶׁ֣ר עָשָׂ֔ה וְלֹ֥א שָׁמַ֖עְנוּ בְּקֹלֹֽו׃ ,,,עָשָׂ֔ה ,קֹלֹֽו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,WxQ0,596462,596463
Ezra 3:12,אֲשֶׁ֨ר רָא֜וּ אֶת־הַבַּ֤יִת הָֽרִאשֹׁון֙ בְּיָסְדֹ֔ו זֶ֤ה הַבַּ֨יִת֙ בְּעֵ֣ינֵיהֶ֔ם ,,,רָא֜וּ ,עֵ֣ינֵיהֶ֔ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",xQt0,NmCl,597117,597118
