reference,match_text,distance,same?,notes,suffix,subject,sfx_pgn,sbj_pgn,context,con_typs,con_doms,ca_typ,mo_typ,ca,mother
Deuteronomy 32:32-28,"כִּי־גֹ֛וי אֹבַ֥ד עֵצֹ֖ות הֵ֑מָּה 
...
כִּֽי־מִגֶּ֤פֶן סְדֹם֙ גַּפְנָ֔ם ",12,,,גַּפְנָ֔ם ,הֵ֑מָּה ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')","לוּלֵ֗י כַּ֤עַס אֹויֵב֙ אָג֔וּר –––––––––––
פֶּֽן־יְנַכְּר֖וּ צָרֵ֑ימֹו ––––––––––––
פֶּן־יֹֽאמְרוּ֙ –––––––––––––
יָדֵ֣ינוּ רָ֔מָה ––––––––––––––
וְלֹ֥א יְהוָ֖ה פָּעַ֥ל כָּל־זֹֽאת׃ –––––––––––––––
כִּי־גֹ֛וי אֹבַ֥ד עֵצֹ֖ות הֵ֑מָּה *––––––––––
וְאֵ֥ין בָּהֶ֖ם תְּבוּנָֽה׃ –––––––––––––
ל֥וּ חָכְמ֖וּ ––––––––––––
יַשְׂכִּ֣ילוּ זֹ֑את –––––––––––––
יָבִ֖ינוּ לְאַחֲרִיתָֽם׃ –––––––––––––––
אֵיכָ֞ה יִרְדֹּ֤ף אֶחָד֙ אֶ֔לֶף ––––––––––––––
וּשְׁנַ֖יִם יָנִ֣יסוּ רְבָבָ֑ה –––––––––––––––––
אִם־לֹא֙ ––––––––––––––––
כִּי־צוּרָ֣ם מְכָרָ֔ם –––––––––––––––––
וַֽיהוָ֖ה הִסְגִּירָֽם׃ ––––––––––––––––––
כִּ֛י לֹ֥א כְצוּרֵ֖נוּ צוּרָ֑ם –––––––––––––––
וְאֹיְבֵ֖ינוּ פְּלִילִֽים׃ ––––––––––––––––
כִּֽי־מִגֶּ֤פֶן סְדֹם֙ גַּפְנָ֔ם *–––––––––––
וּמִשַּׁדְמֹ֖ת עֲמֹרָ֑ה –––––––––––––
עֲנָבֵ֨מֹו֙ עִנְּבֵי־רֹ֔ושׁ ––––––––––––
אַשְׁכְּלֹ֥ת מְרֹרֹ֖ת לָֽמֹו׃ ––––––––––––––
חֲמַ֥ת תַּנִּינִ֖ם יֵינָ֑ם –––––––––––––
וְרֹ֥אשׁ פְּתָנִ֖ים אַכְזָֽר׃ ––––––––––––––","xYq0
xYqX
xYq0
XQtl
WXQt
NmCl
NmCl
xQt0
ZYq0
ZYq0
xYqX
WXYq
NmCl
XQtl
WXQt
NmCl
NmCl
NmCl
NmCl
NmCl
NmCl
NmCl
NmCl","Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q",NmCl,NmCl,536266,536254
Joshua 17:18,"כִּ֣י הַ֤ר יִֽהְיֶה־לָּךְ֙ 
...
וְהָיָ֥ה לְךָ֖ תֹּֽצְאֹתָ֑יו ",3,,,תֹּֽצְאֹתָ֑יו ,הַ֤ר ,"('p3', 'm', 'sg')","('NA', 'm', 'sg')","וַיֹּ֤אמֶר יְהֹושֻׁ֨עַ֙ אֶל־בֵּ֣ית יֹוסֵ֔ף לְאֶפְרַ֥יִם וְלִמְנַשֶּׁ֖ה –
לֵאמֹ֑ר ––
עַם־רַ֣ב אַתָּ֗ה –––
וְכֹ֤חַ גָּדֹול֙ לָ֔ךְ –––––
לֹֽא־יִהְיֶ֥ה לְךָ֖ גֹּורָ֥ל אֶחָֽד׃ ––––
כִּ֣י הַ֤ר יִֽהְיֶה־לָּךְ֙ *–––––
כִּֽי־יַ֣עַר ה֔וּא –––––––
וּבֵ֣רֵאתֹ֔ו ––––––––
וְהָיָ֥ה לְךָ֖ תֹּֽצְאֹתָ֑יו *––––––
כִּֽי־תֹורִ֣ישׁ אֶת־הַֽכְּנַעֲנִ֗י –––––––
כִּ֣י רֶ֤כֶב בַּרְזֶל֙ לֹ֔ו ––––––––
כִּ֥י חָזָ֖ק הֽוּא׃ פ –––––––––
וַיִּקָּ֨הֲל֜וּ כָּל־עֲדַ֤ת בְּנֵֽי־יִשְׂרָאֵל֙ שִׁלֹ֔ה 
וַיַּשְׁכִּ֥ינוּ שָׁ֖ם אֶת־אֹ֣הֶל מֹועֵ֑ד –––","WayX
InfC
NmCl
NmCl
xYqX
XYqt
NmCl
WQt0
WQtX
xYq0
NmCl
AjCl
WayX
Way0","N
N
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
N
N",WQtX,XYqt,538222,538219
Judges 7:14-13,"אִ֔ישׁ מְסַפֵּ֥ר לְרֵעֵ֖הוּ חֲלֹ֑ום 
...
וַיַּ֨עַן רֵעֵ֤הוּ ",9,,,רֵעֵ֤הוּ ,אִ֔ישׁ ,"('p3', 'm', 'sg')","('NA', 'm', 'sg')","וְלִגְמַלֵּיהֶם֙ אֵ֣ין מִסְפָּ֔ר כַּחֹ֛ול –––––
שֶׁעַל־שְׂפַ֥ת הַיָּ֖ם –––––––
לָרֹֽב׃ ––––––
וַיָּבֹ֣א גִדְעֹ֔ון ––
וְהִ֨נֵּה־–––
אִ֔ישׁ מְסַפֵּ֥ר לְרֵעֵ֖הוּ חֲלֹ֑ום *––––
וַיֹּ֜אמֶר ––––––
הִנֵּ֧ה חֲלֹ֣ום חָלַ֗מְתִּי –––––––
וְהִנֵּ֨ה צְלִ֜יל לֶ֤חֶם שְׂעֹרִים֙ מִתְהַפֵּךְ֙ בְּמַחֲנֵ֣ה מִדְיָ֔ן ––––––––
וַיָּבֹ֣א עַד־הָ֠אֹהֶל ––––––––––
וַיַּכֵּ֧הוּ –––––––––––
וַיִּפֹּ֛ל ––––––––––––
וַיַּהַפְכֵ֥הוּ לְמַ֖עְלָה –––––––––––
וְנָפַ֥ל הָאֹֽהֶל׃ –––––––––
וַיַּ֨עַן רֵעֵ֤הוּ *–––––
וַיֹּ֨אמֶר֙ ––––––
אֵ֣ין זֹ֔את –––––––
בִּלְתִּ֗י אִם־חֶ֛רֶב גִּדְעֹ֥ון בֶּן־יֹואָ֖שׁ אִ֣ישׁ יִשְׂרָאֵ֑ל –––––––––
נָתַ֤ן הָֽאֱלֹהִים֙ בְּיָדֹ֔ו אֶת־מִדְיָ֖ן וְאֶת־כָּל־הַֽמַּחֲנֶֽה׃ פ ––––––––
וַיְהִי֩ ––","NmCl
NmCl
Defc
WayX
NmCl
Ptcp
Way0
xQt0
Ptcp
Way0
Way0
Way0
Way0
WQtX
WayX
Way0
NmCl
NmCl
ZQtX
Way0","N
N
N
N
N
N
N
Q
Q
N
N
N
N
Q
N
N
Q
Q
Q
N",WayX,Ptcp,539781,539772
Judges 13:23-22,"וַיֹּ֧אמֶר מָנֹ֛וחַ אֶל־אִשְׁתֹּ֖ו 
...
וַתֹּ֧אמֶר לֹ֣ו אִשְׁתֹּ֗ו ",3,,,אִשְׁתֹּ֗ו ,מָנֹ֛וחַ ,"('p3', 'm', 'sg')","('NA', 'm', 'sg')","וַיִּפְּל֥וּ עַל־פְּנֵיהֶ֖ם אָֽרְצָה׃ ––––––––––––
וְלֹא־יָ֤סַף עֹוד֙ מַלְאַ֣ךְ יְהוָ֔ה ––––––––––
לְהֵרָאֹ֖ה אֶל־מָנֹ֣וחַ וְאֶל־אִשְׁתֹּ֑ו ––––––––––––
אָ֚ז יָדַ֣ע מָנֹ֔וחַ –––––––––––
כִּֽי־מַלְאַ֥ךְ יְהוָ֖ה הֽוּא׃ ––––––––––––
וַיֹּ֧אמֶר מָנֹ֛וחַ אֶל־אִשְׁתֹּ֖ו *–––––
מֹ֣ות נָמ֑וּת ––––––
כִּ֥י אֱלֹהִ֖ים רָאִֽינוּ׃ –––––––
וַתֹּ֧אמֶר לֹ֣ו אִשְׁתֹּ֗ו *–––––
לוּ֩ חָפֵ֨ץ יְהוָ֤ה ––––––
לַהֲמִיתֵ֨נוּ֙ ––––––––
לֹֽא־לָקַ֤ח מִיָּדֵ֨נוּ֙ עֹלָ֣ה וּמִנְחָ֔ה –––––––
וְלֹ֥א הֶרְאָ֖נוּ אֶת־כָּל־אֵ֑לֶּה ––––––––
וְכָעֵ֕ת לֹ֥א הִשְׁמִיעָ֖נוּ כָּזֹֽאת׃ –––––––––","Way0
WxQX
InfA
xQtX
NmCl
WayX
xYq0
xQt0
WayX
xQtX
InfC
xQt0
WxQ0
WxQ0","N
N
N
N
N
N
Q
Q
N
Q
Q
Q
Q
Q",WayX,WayX,540672,540669
Judges 14:19-10,"וַיַּ֨עַשׂ שָׁ֤ם שִׁמְשֹׁון֙ מִשְׁתֶּ֔ה 
...
וַיִּ֣חַר אַפֹּ֔ו ",58,,,אַפֹּ֔ו ,שִׁמְשֹׁון֙ ,"('p3', 'm', 'sg')","('NA', 'm', 'sg')","וַיִּתֵּ֥ן לָהֶ֖ם –––––
וַיֹּאכֵ֑לוּ –––––––
וְלֹֽא־הִגִּ֣יד לָהֶ֔ם ––––––
כִּ֛י מִגְּוִיַּ֥ת הָאַרְיֵ֖ה רָדָ֥ה הַדְּבָֽשׁ׃ –––––––
וַיֵּ֥רֶד אָבִ֖יהוּ אֶל־הָאִשָּׁ֑ה 
וַיַּ֨עַשׂ שָׁ֤ם שִׁמְשֹׁון֙ מִשְׁתֶּ֔ה *–
כִּ֛י כֵּ֥ן יַעֲשׂ֖וּ הַבַּחוּרִֽים׃ –––
וַיְהִ֖י ––
כִּרְאֹותָ֣ם אֹותֹ֑ו ––––
וַיִּקְחוּ֙ שְׁלֹשִׁ֣ים מֵֽרֵעִ֔ים –––
וַיִּהְי֖וּ אִתֹּֽו׃ ––––
וַיֹּ֤אמֶר לָהֶם֙ שִׁמְשֹׁ֔ון –––––
אָחֽוּדָה־נָּ֥א לָכֶ֖ם חִידָ֑ה ––––––––
אִם־הַגֵּ֣ד תַּגִּידוּ֩ אֹותָ֨הּ לִ֜י שִׁבְעַ֨ת יְמֵ֤י הַמִּשְׁתֶּה֙ –––––––––
וּמְצָאתֶ֔ם ––––––––––––
וְנָתַתִּ֤י לָכֶם֙ שְׁלֹשִׁ֣ים סְדִינִ֔ים וּשְׁלֹשִׁ֖ים חֲלִפֹ֥ת בְּגָדִֽים׃ –––––––––––
וְאִם־לֹ֣א תוּכְלוּ֮ ––––––––––
לְהַגִּ֣יד לִי֒ ––––––––––––
וּנְתַתֶּ֨ם אַתֶּ֥ם לִי֙ שְׁלֹשִׁ֣ים סְדִינִ֔ים וּשְׁלֹשִׁ֖ים חֲלִיפֹ֣ות בְּגָדִ֑ים –––––––––––
וַיֹּ֣אמְרוּ לֹ֔ו –––––––
ח֥וּדָה חִידָתְךָ֖ –––––––––
וְנִשְׁמָעֶֽנָּה׃ ––––––––––
וַיֹּ֣אמֶר לָהֶ֗ם ––––––––
מֵהָֽאֹכֵל֙ יָצָ֣א מַאֲכָ֔ל ––––––––––
וּמֵעַ֖ז יָצָ֣א מָתֹ֑וק –––––––––––
וְלֹ֥א יָכְל֛וּ –––––––––
לְהַגִּ֥יד הַחִידָ֖ה –––––––––––
שְׁלֹ֥שֶׁת יָמִֽים׃ ––––––––––
וַיְהִ֣י׀ בַּיֹּ֣ום הַשְּׁבִיעִ֗י ––––––
וַיֹּאמְר֤וּ לְאֵֽשֶׁת־שִׁמְשֹׁון֙ –––––––
פַּתִּ֣י אֶת־אִישֵׁ֗ךְ –––––––––
וְיַגֶּד־לָ֨נוּ֙ אֶת־הַ֣חִידָ֔ה ––––––––––––
פֶּן־נִשְׂרֹ֥ף אֹותָ֛ךְ וְאֶת־בֵּ֥ית אָבִ֖יךְ בָּאֵ֑שׁ –––––––––––
הַלְיָרְשֵׁ֕נוּ ––––––––––
קְרָאתֶ֥ם לָ֖נוּ ––––––––––––
הֲלֹֽא׃ –––––––––––
וַתֵּבְךְּ֩ אֵ֨שֶׁת שִׁמְשֹׁ֜ון עָלָ֗יו ––––––––
וַתֹּ֨אמֶר֙ –––––––––––
רַק־שְׂנֵאתַ֨נִי֙ ––––––––––––
וְלֹ֣א אֲהַבְתָּ֔נִי ––––––––––––––
הַֽחִידָ֥ה חַ֨דְתָּ֙ לִבְנֵ֣י עַמִּ֔י –––––––––––––
וְלִ֖י לֹ֣א הִגַּ֑דְתָּה ––––––––––––––
וַיֹּ֣אמֶר לָ֗הּ ––––––––––
הִנֵּ֨ה לְאָבִ֧י וּלְאִמִּ֛י לֹ֥א הִגַּ֖דְתִּי –––––––––––
וְלָ֥ךְ אַגִּֽיד׃ ––––––––––––
וַתֵּ֤בְךְּ עָלָיו֙ שִׁבְעַ֣ת הַיָּמִ֔ים –––––––––
אֲשֶׁר־הָיָ֥ה לָהֶ֖ם הַמִּשְׁתֶּ֑ה ––––––––––
וַיְהִ֣י׀ בַּיֹּ֣ום הַשְּׁבִיעִ֗י ––––––
וַיַּגֶּד־לָהּ֙ –––––––
כִּ֣י הֱצִיקַ֔תְהוּ –––––––––
וַתַּגֵּ֥ד הַחִידָ֖ה לִבְנֵ֥י עַמָּֽהּ׃ ––––––––
וַיֹּ֣אמְרוּ לֹו֩ אַנְשֵׁ֨י הָעִ֜יר בַּיֹּ֣ום הַשְּׁבִיעִ֗י –––––
בְּטֶ֨רֶם֙ יָבֹ֣א הַחַ֔רְסָה ––––––––
מַה־מָּתֹ֣וק מִדְּבַ֔שׁ –––––––
וּמֶ֥ה עַ֖ז מֵאֲרִ֑י ––––––––
וַיֹּ֣אמֶר לָהֶ֔ם ––––––
לוּלֵא֙ חֲרַשְׁתֶּ֣ם בְּעֶגְלָתִ֔י ––––––––
לֹ֥א מְצָאתֶ֖ם חִידָתִֽי׃ –––––––––
וַתִּצְלַ֨ח עָלָ֜יו ר֣וּחַ יְהוָ֗ה –––––––
וַיֵּ֨רֶד אַשְׁקְלֹ֜ון ––––––––
וַיַּ֥ךְ מֵהֶ֣ם׀ שְׁלֹשִׁ֣ים אִ֗ישׁ ––––––––
וַיִּקַּח֙ אֶת־חֲלִ֣יצֹותָ֔ם ––––––––
וַיִּתֵּן֙ הַחֲלִיפֹ֔ות לְמַגִּידֵ֖י הַחִידָ֑ה ––––––––
וַיִּ֣חַר אַפֹּ֔ו *–
וַיַּ֖עַל בֵּ֥ית אָבִֽיהוּ׃ פ ––
וַתְּהִ֖י אֵ֣שֶׁת שִׁמְשֹׁ֑ון לְמֵ֣רֵעֵ֔הוּ –
אֲשֶׁ֥ר רֵעָ֖ה לֹֽו׃ ––
וַיְהִ֨י מִיָּמִ֜ים בִּימֵ֣י קְצִיר־חִטִּ֗ים 
וַיִּפְקֹ֨ד שִׁמְשֹׁ֤ון אֶת־אִשְׁתֹּו֙ בִּגְדִ֣י עִזִּ֔ים –","Way0
Way0
WxQ0
xQt0
WayX
WayX
xYqX
Way0
InfC
Way0
Way0
WayX
ZYq0
xYq0
WQt0
WQt0
WxY0
InfC
WQtX
Way0
ZIm0
WYq0
Way0
xQtX
WxQX
WxQ0
InfC
Defc
Way0
Way0
ZIm0
WYq0
xYq0
InfC
ZQt0
NmCl
WayX
Way0
xQt0
WxQ0
xQt0
WxQ0
Way0
xQt0
WxY0
Way0
xQtX
Way0
Way0
xQt0
Way0
WayX
xYq0
AjCl
AjCl
Way0
xQt0
xQt0
WayX
Way0
Way0
Way0
Way0
WayX
Way0
WayX
xQt0
Way0
WayX","N
N
N
N
N
N
D
N
N
N
N
N
Q
Q
Q
Q
Q
Q
Q
N
Q
Q
N
Q
Q
N
N
N
N
N
Q
Q
Q
Q
Q
Q
N
N
Q
Q
Q
Q
N
Q
Q
N
N
N
N
N
N
N
N
Q
Q
N
Q
Q
N
N
N
N
N
N
N
N
N
N
N",WayX,WayX,540787,540729
Judges 19:4-3,"וַיִּרְאֵ֨הוּ֙ אֲבִ֣י הַֽנַּעֲרָ֔ה 
...
וַיֶּחֱזַק־בֹּ֤ו חֹֽתְנֹו֙ אֲבִ֣י הַֽנַּעֲרָ֔ה ",3,,,חֹֽתְנֹו֙ ,אֲבִ֣י ,"('p3', 'm', 'sg')","('NA', 'm', 'sg')","וַיֵּ֣לֶךְ אַחֲרֶ֗יהָ ––––––––
לְדַבֵּ֤ר עַל־לִבָּהּ֙ –––––––––
לַהֲשִׁיבָ֔הּ ––––––––––
וְנַעֲרֹ֥ו עִמֹּ֖ו וְצֶ֣מֶד חֲמֹרִ֑ים –––––––
וַתְּבִיאֵ֨הוּ֙ בֵּ֣ית אָבִ֔יהָ –––––
וַיִּרְאֵ֨הוּ֙ אֲבִ֣י הַֽנַּעֲרָ֔ה *––––––
וַיִּשְׂמַ֖ח –––––––
לִקְרָאתֹֽו׃ ––––––––
וַיֶּחֱזַק־בֹּ֤ו חֹֽתְנֹו֙ אֲבִ֣י הַֽנַּעֲרָ֔ה *––––––
וַיֵּ֥שֶׁב אִתֹּ֖ו שְׁלֹ֣שֶׁת יָמִ֑ים –––––––
וַיֹּאכְלוּ֙ –––––––––
וַיִּשְׁתּ֔וּ –––––––––
וַיָּלִ֖ינוּ שָֽׁם׃ –––––––––
וַֽיְהִי֙ בַּיֹּ֣ום הָרְבִיעִ֔י ––––––––","Way0
InfC
InfC
NmCl
Way0
WayX
Way0
InfC
WayX
Way0
Way0
Way0
Way0
Way0","N
N
N
N
N
N
N
N
N
N
N
N
N
N",WayX,WayX,541328,541325
Judges 19:12-11,"וַיֹּ֨אמֶר הַנַּ֜עַר אֶל־אֲדֹנָ֗יו 
...
וַיֹּ֤אמֶר אֵלָיו֙ אֲדֹנָ֔יו ",4,,,אֲדֹנָ֔יו ,נַּ֜עַר ,"('p3', 'm', 'sg')","('NA', 'm', 'sg')","הִ֖יא יְרוּשָׁלִָ֑ם –––––––––––
וְעִמֹּ֗ו צֶ֤מֶד חֲמֹורִים֙ חֲבוּשִׁ֔ים ––––––––––
וּפִילַגְשֹׁ֖ו עִמֹּֽו׃ –––––––––––
הֵ֣ם עִם־יְב֔וּס –––––––––
וְהַיֹּ֖ום רַ֣ד מְאֹ֑ד –––––––––––
וַיֹּ֨אמֶר הַנַּ֜עַר אֶל־אֲדֹנָ֗יו *––––––––––
לְכָה־נָּ֛א –––––––––––
וְנָס֛וּרָה אֶל־עִֽיר־הַיְבוּסִ֥י הַזֹּ֖את ––––––––––––
וְנָלִ֥ין בָּֽהּ׃ ––––––––––––
וַיֹּ֤אמֶר אֵלָיו֙ אֲדֹנָ֔יו *––––––––––
לֹ֤א נָסוּר֙ אֶל־עִ֣יר נָכְרִ֔י ––––––––––––
אֲשֶׁ֛ר לֹֽא־מִבְּנֵ֥י יִשְׂרָאֵ֖ל הֵ֑נָּה ––––––––––––––
וְעָבַ֖רְנוּ עַד־גִּבְעָֽה׃ –––––––––––––
וַיֹּ֣אמֶר לְנַעֲרֹ֔ו –––––––––––
לְכָ֥ה –––––––––––––","NmCl
NmCl
NmCl
NmCl
InfC
WayX
ZIm0
WYq0
WYq0
WayX
xYq0
NmCl
WQt0
Way0
ZIm0","N
N
N
N
N
N
Q
Q
Q
N
Q
Q
Q
N
Q",WayX,WayX,541385,541381
Judges 19:27-26,"וַתָּבֹ֥א הָאִשָּׁ֖ה 
...
וַיָּ֨קָם אֲדֹנֶ֜יהָ בַּבֹּ֗קֶר ",5,,,אֲדֹנֶ֜יהָ ,אִשָּׁ֖ה ,"('p3', 'f', 'sg')","('NA', 'f', 'sg')","וַיֹּצֵ֥א אֲלֵיהֶ֖ם הַח֑וּץ –––––––––––––––
וַיֵּדְע֣וּ אֹ֠ותָהּ ––––––––––––––––
וַיִּֽתְעַלְּלוּ־בָ֤הּ כָּל־הַלַּ֨יְלָה֙ עַד־הַבֹּ֔קֶר ––––––––––––––––
וַֽיְשַׁלְּח֖וּהָ –––––––––––––––––
כַּעֲלֹ֥ות הַשָּֽׁחַר׃ ––––––––––––––––––
וַתָּבֹ֥א הָאִשָּׁ֖ה *––––––––––––––
לִפְנֹ֣ות הַבֹּ֑קֶר ––––––––––––––––
וַתִּפֹּ֞ל פֶּ֧תַח בֵּית־הָאִ֛ישׁ –––––––––––––––
אֲשֶׁר־אֲדֹונֶ֥יהָ שָּׁ֖ם –––––––––––––––––
עַד־הָאֹֽור׃ ––––––––––––––––
וַיָּ֨קָם אֲדֹנֶ֜יהָ בַּבֹּ֗קֶר *––––––––––––––
וַיִּפְתַּח֙ דַּלְתֹ֣ות הַבַּ֔יִת –––––––––––––––
וַיֵּצֵ֖א –––––––––––––––
לָלֶ֣כֶת לְדַרְכֹּ֑ו –––––––––––––––––
וְהִנֵּ֧ה הָאִשָּׁ֣ה פִֽילַגְשֹׁ֗ו נֹפֶ֨לֶת֙ פֶּ֣תַח הַבַּ֔יִת ––––––––––––––––
וְיָדֶ֖יהָ עַל־הַסַּֽף׃ –––––––––––––––––","Way0
Way0
Way0
Way0
InfC
WayX
InfC
Way0
NmCl
Defc
WayX
Way0
Way0
InfC
Ptcp
NmCl","N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N",WayX,WayX,541465,541460
1_Samuel 7:17-15,"וַיִּשְׁפֹּ֤ט שְׁמוּאֵל֙ אֶת־יִשְׂרָאֵ֔ל כֹּ֖ל יְמֵ֥י חַיָּֽיו׃ 
...
וּתְשֻׁבָתֹ֤ו הָרָמָ֨תָה֙ ",4,,,תְשֻׁבָתֹ֤ו ,שְׁמוּאֵל֙ ,"('p3', 'm', 'sg')","('NA', 'm', 'sg')","וַתָּשֹׁ֣בְנָה הֶעָרִ֡ים ––––
אֲשֶׁ֣ר לָֽקְחוּ־פְלִשְׁתִּים֩ מֵאֵ֨ת יִשְׂרָאֵ֤ל׀ –––––––
לְיִשְׂרָאֵל֙ מֵעֶקְרֹ֣ון וְעַד־גַּ֔ת ––––––
וְאֶ֨ת־גְּבוּלָ֔ן הִצִּ֥יל יִשְׂרָאֵ֖ל מִיַּ֣ד פְּלִשְׁתִּ֑ים –––––
וַיְהִ֣י שָׁלֹ֔ום בֵּ֥ין יִשְׂרָאֵ֖ל וּבֵ֥ין הָאֱמֹרִֽי׃ ––
וַיִּשְׁפֹּ֤ט שְׁמוּאֵל֙ אֶת־יִשְׂרָאֵ֔ל כֹּ֖ל יְמֵ֥י חַיָּֽיו׃ *
וְהָלַ֗ךְ מִדֵּ֤י שָׁנָה֙ בְּשָׁנָ֔ה ––
וְסָבַב֙ בֵּֽית־אֵ֔ל וְהַגִּלְגָּ֖ל וְהַמִּצְפָּ֑ה ––
וְשָׁפַט֙ אֶת־יִשְׂרָאֵ֔ל אֵ֥ת כָּל־הַמְּקֹומֹ֖ות הָאֵֽלֶּה׃ ––
וּתְשֻׁבָתֹ֤ו הָרָמָ֨תָה֙ *–
כִּֽי־שָׁ֣ם בֵּיתֹ֔ו ––
וְשָׁ֖ם שָׁפָ֣ט אֶת־יִשְׂרָאֵ֑ל –––
וַיִּֽבֶן־שָׁ֥ם מִזְבֵּ֖חַ לַֽיהוָֽה׃ פ ––––
וַיְהִ֕י 
כַּאֲשֶׁ֥ר זָקֵ֖ן שְׁמוּאֵ֑ל –––","WayX
xQtX
Defc
WxQX
WayX
WayX
WQt0
WQt0
WQt0
NmCl
NmCl
WxQ0
Way0
Way0
xQtX","N
N
N
N
N
N
N
N
N
N
N
N
N
N
N",NmCl,WayX,542560,542556
1_Samuel 17:4,"וַיֵּצֵ֤א אִֽישׁ־הַבֵּנַ֨יִם֙ מִמַּחֲנֹ֣ות פְּלִשְׁתִּ֔ים 
...
גָּבְהֹ֕ו שֵׁ֥שׁ אַמֹּ֖ות וָזָֽרֶת׃ ",3,,,גָּבְהֹ֕ו ,אִֽישׁ־,"('p3', 'm', 'sg')","('NA', 'm', 'sg')","וַיַּעַרְכ֥וּ מִלְחָמָ֖ה –––––
לִקְרַ֥את פְּלִשְׁתִּֽים׃ ––––––
וּפְלִשְׁתִּ֞ים עֹמְדִ֤ים אֶל־הָהָר֙ מִזֶּ֔ה ––––
וְיִשְׂרָאֵ֛ל עֹמְדִ֥ים אֶל־הָהָ֖ר מִזֶּ֑ה –––––
וְהַגַּ֖יְא בֵּינֵיהֶֽם׃ ––––––
וַיֵּצֵ֤א אִֽישׁ־הַבֵּנַ֨יִם֙ מִמַּחֲנֹ֣ות פְּלִשְׁתִּ֔ים *–
גָּלְיָ֥ת שְׁמֹ֖ו –––––
מִגַּ֑ת ––––––
גָּבְהֹ֕ו שֵׁ֥שׁ אַמֹּ֖ות וָזָֽרֶת׃ *––––
וְכֹ֤ובַע נְחֹ֨שֶׁת֙ עַל־רֹאשֹׁ֔ו ––––––
וְשִׁרְיֹ֥ון קַשְׂקַשִּׂ֖ים ה֣וּא לָב֑וּשׁ –––––––
וּמִשְׁקַל֙ הַשִּׁרְיֹ֔ון חֲמֵשֶׁת־אֲלָפִ֥ים שְׁקָלִ֖ים נְחֹֽשֶֽׁת׃ ––––––––
וּמִצְחַ֥ת נְחֹ֖שֶׁת עַל־רַגְלָ֑יו ––––––
וְכִידֹ֥ון נְחֹ֖שֶׁת בֵּ֥ין כְּתֵפָֽיו׃ –––––––","Way0
InfC
Ptcp
Ptcp
NmCl
WayX
NmCl
NmCl
NmCl
NmCl
Ptcp
NmCl
NmCl
NmCl","N
N
N
N
N
N
N
N
N
N
N
N
N
N",NmCl,WayX,543812,543809
1_Samuel 17:13,"וְשֵׁ֣ם׀ שְׁלֹ֣שֶׁת בָּנָ֗יו 
...
וּמִשְׁנֵ֨הוּ֙ אֲבִ֣ינָדָ֔ב ",3,,,מִשְׁנֵ֨הוּ֙ ,שֵׁ֣ם׀ ,"('p3', 'm', 'sg')","('NA', 'm', 'sg')","וְלֹ֖ו שְׁמֹנָ֣ה בָנִ֑ים –––––
וְהָאִישׁ֙ בִּימֵ֣י שָׁא֔וּל זָקֵ֖ן ––––––
בָּ֥א בַאֲנָשִֽׁים׃ ––––––––
וַיֵּ֨לְכ֜וּ שְׁלֹ֤שֶׁת בְּנֵֽי־יִשַׁי֙ הַגְּדֹלִ֔ים –––––––
הָלְכ֥וּ אַחֲרֵי־שָׁא֖וּל לַמִּלְחָמָ֑ה –––––––––
וְשֵׁ֣ם׀ שְׁלֹ֣שֶׁת בָּנָ֗יו *––––––––
אֲשֶׁ֤ר הָלְכוּ֙ בַּמִּלְחָמָ֔ה ––––––––––––
אֱלִיאָ֣ב הַבְּכֹ֗ור –––––––––––
וּמִשְׁנֵ֨הוּ֙ אֲבִ֣ינָדָ֔ב *––––––––––
וְהַשְּׁלִשִׁ֖י שַׁמָּֽה׃ –––––––––––
וְדָוִ֖ד –––––––––
ה֣וּא הַקָּטָ֑ן ––––––––––
וּשְׁלֹשָׁה֙ הַגְּדֹלִ֔ים הָלְכ֖וּ אַחֲרֵ֥י שָׁאֽוּל׃ ס ––––
וְדָוִ֛ד הֹלֵ֥ךְ –––––","NmCl
AjCl
Ptcp
WayX
ZQt0
Defc
xQt0
NmCl
NmCl
NmCl
CPen
NmCl
WXQt
Ptcp","N
N
N
N
N
N
N
N
N
N
N
N
N
N",NmCl,Defc,543855,543852
