n.m
n.pl.indecl
n.f.pr.putei
n. f
n.m.pl
n.pr.divin
n.f.denom
n.indecl
n.m.coll
n.pr.fl
n.f.emph
n.f
n.f.abstr.pl
n.pr.gent.
n. [m.]
n.f.pl
n.[m.]
"n.[m.,f.]"
n.pr.mens
n.[m.]intens
n.m.pl.emph
n.f.pl.intens
n.[f.]pl
n.f.coll
n.m.emph
n.pr.[m.]
n.f.du
n.m.epith
n.m.
n.pl
n.m.[pl.]
n.[m.]pl
n.pl.[m.]
n
