ID,Label
0,בְּ
1,אֱלֹהִים
2,אֵת
3,הַ
4,וְ
5,אֶרֶץ
6,היה
7,עַל
8,פָּנֶה
9,מַיִם
10,אמר
11,ראה
12,כִּי
13,קרא
14,לְ
15,יֹום
16,אֶחָד
17,עשׂה
18,אֲשֶׁר
19,מִן
20,כֵּן
21,אֶל
22,יצא
23,שָׁנָה
24,שְׁנַיִם
25,גָּדֹול
26,נתן
27,נֶפֶשׁ
28,כֹּל
29,אָדָם
30,כְּ
31,הִנֵּה
32,אֵלֶּה
33,יְהוָה
34,לֹא
35,אַיִן
36,עלה
37,שׂים
38,שָׁם
39,רֹאשׁ
40,שֵׁם
41,הוּא
42,הִיא
43,הלך
44,לקח
45,צוה
46,אכל
47,מות
48,בוא
49,מָה
50,אִשָּׁה
51,זֹאת
52,אִישׁ
53,אָב
54,ידע
55,עַיִן
56,גַּם
57,עִם
58,שׁמע
59,אַתָּה
60,הֲ
61,בֵּן
62,עַד
63,שׁוב
64,שׁלח
65,יָד
66,דֶּרֶךְ
67,אֵת
68,אָח
69,אִם
70,קום
71,פֶּה
72,נשׂא
73,ישׁב
74,עִיר
75,עֹוד
76,זֶה
77,שָׁלֹשׁ
78,אַחַר
79,לֵב
80,בַּיִת
81,אֲנִי
82,הַר
83,עבר
84,דבר
85,עֶבֶד
86,גֹּוי
87,מִצְרַיִם
88,דָּבָר
89,עַם
90,אַל
91,מֶלֶךְ
92,כֹּהֵן
93,כֹּה
94,עמד
95,יְהוּדָה
96,יִשְׂרָאֵל
97,מֹשֶׁה
98,יְרוּשָׁלִַם
99,דָּוִד
