Source,Target,Weight
0,0,1.0
0,2,0.5505300504485985
0,7,0.6260857730025566
0,14,0.32451346084927923
0,15,0.1269582580204046
0,19,0.41351874901765073
0,21,0.3239365655370774
0,24,0.13559889053168384
0,28,0.4450266121253721
0,30,0.5556642660761888
0,38,0.05861739097301233
0,39,0.2680826486632486
0,52,0.02382166949941933
0,57,0.14631156566989056
0,62,0.45458575443688165
0,67,0.08803653440064396
0,78,0.21173575492161145
0,88,0.1968875563649357
1,1,1.0
1,5,0.3009905919314031
1,8,0.04756806427588256
1,9,0.2526626575028492
1,12,0.1778827067555928
1,15,0.22088975883307493
1,16,0.16253460836994593
1,21,0.08607368157564199
1,23,0.09301134416760981
1,25,0.18621141573711741
1,27,0.1844025498581342
1,29,0.26751015303568537
1,32,0.08520153635763894
1,33,0.1535862193751636
1,39,0.0053506663748684735
1,41,0.10025335816820402
1,42,0.10748414973917897
1,49,0.01854400846887716
1,50,0.24924925567884992
1,51,0.12100923195817881
1,52,0.22686600803392998
1,53,0.22110128267211293
1,57,0.07502508180466771
1,60,0.06950883243787531
1,61,0.06366104074903467
1,66,0.21266476428907977
1,67,0.0030021570636916683
1,68,0.008522073100368455
1,71,0.014198145239440518
1,74,0.25659715006822226
1,75,0.02402454116378161
1,76,0.1355404964404352
1,79,0.0226632911382717
1,80,0.23499391003470005
1,81,0.017297215753523942
1,82,0.260637319584897
1,85,0.10616899441118699
1,86,0.29996932404163723
1,87,0.06508592631677512
1,88,0.15238670544782107
1,89,0.3116622018423606
1,91,0.3454242225559201
1,92,0.2834911774717904
1,93,0.261660942296587
1,95,0.06141045888564245
1,96,0.09701854232033602
1,97,0.05372207423700803
1,98,0.010045145401849975
1,99,0.04760927806211812
2,0,0.5505300504485985
2,2,1.0
2,6,0.165530389014391
2,7,0.5702148438556225
2,10,0.10664530118068805
2,11,0.2020049190948383
2,13,0.047788507655412316
2,14,0.1831476246104411
2,17,0.04261439250936061
2,19,0.2713065183308718
2,21,0.3729462267063801
2,22,0.14610884161463566
2,24,0.2842529267582602
2,28,0.4326547626742975
2,30,0.3641744910889151
2,31,0.11496150344633049
2,34,0.029773990893200653
2,35,0.06512346693305404
2,36,0.2267818646562365
2,37,0.08910822081066394
2,38,0.2339410421574164
2,39,0.13359714524909183
2,40,0.09204410087743842
2,43,0.0937754259013518
2,44,0.19271822917152126
2,46,0.15312230813082195
2,47,0.1191536777423543
2,48,0.15896439127919493
2,52,0.06047341582525012
2,54,0.05157192001776045
2,56,0.18155701646600764
2,57,0.13971045498104318
2,58,0.09137775301290074
2,61,0.05112515746318258
2,62,0.3138149309459197
2,63,0.16647997828447558
2,64,0.10995593096425971
2,67,0.07949907264711198
2,68,0.025021939659401582
2,70,0.20149178492359276
2,72,0.1863561518482184
2,73,0.14972724103242918
2,77,0.06512832393617152
2,78,0.32556611917346656
2,83,0.07479597795333959
2,88,0.05910857423352733
2,94,0.16133887738128994
2,97,0.023564926280519982
2,99,0.04407549424088342
3,3,1.0
3,4,0.11290680679273601
3,8,0.09136831395179545
3,12,0.008534740006071129
3,18,0.16308501718265955
3,20,0.04318255128301385
3,24,0.00219511276940465
3,27,0.01120319170019246
3,28,0.06702759095129496
3,33,0.01535888153655729
3,39,0.06012818746515847
3,40,0.099698743329386
3,55,0.36629168543140156
3,60,0.008362621347961063
3,61,0.08114478169600114
3,65,0.4300934311588004
3,66,0.02433644193977791
3,71,0.29453243257352735
3,79,0.21403736394750228
3,80,0.03924028187538775
3,82,0.010932089351868846
3,85,0.004029969584229076
3,87,0.07467231901587057
3,95,0.021257215027926324
3,96,0.06213904548488214
3,98,0.36170793550899183
3,99,0.022220244295895863
4,3,0.11290680679273601
4,4,1.0
4,12,0.4560544836625344
4,14,0.2759842709865794
4,18,0.6069405895878527
4,19,0.17219792487384744
4,20,0.11532796046588012
4,21,0.04949097438860439
4,33,0.07039812894229647
4,38,0.012358354045076902
4,53,0.03937828226383577
4,57,0.006631097372008732
4,60,0.3779886396859391
4,61,0.012102805500348368
4,75,0.05948741977807548
4,87,0.0666626450810528
4,90,0.049810004074102854
4,93,0.1774552359642818
4,95,0.02558951970747536
4,96,0.08951217852195492
4,99,0.028278796522734795
5,1,0.3009905919314031
5,5,1.0
5,9,0.8279567668412738
5,15,0.8028093799350884
5,16,0.43627257260273433
5,23,0.32480535433077007
5,25,0.6352355564093665
5,27,0.33328359875896263
5,29,0.6528120634656293
5,32,0.5178894572170298
5,39,0.21795483563436568
5,41,0.36617731218629446
5,42,0.3919489455627241
5,50,0.6064728855624941
5,51,0.5542363767122508
5,52,0.6036213503696801
5,53,0.11549642466636678
5,55,0.10602158551833674
5,65,0.16571461287231237
5,66,0.668927325325506
5,71,0.0727265962477226
5,74,0.9045097425917474
5,76,0.5706884375127722
5,79,0.06813953515543492
5,80,0.5744924587693302
5,82,0.8671998630687864
5,85,0.04879262142955132
5,86,0.905194041770403
5,87,0.12711102467769864
5,88,0.5740257816808463
5,89,0.8958647018324462
5,91,0.8501028295836834
5,92,0.8395778884951866
5,95,0.06392213743178454
5,96,0.057527761881861705
5,98,0.13105940610015998
6,2,0.165530389014391
6,6,1.0
6,10,0.6640265232397927
6,11,0.6548965200573064
6,13,0.8209030662717933
6,16,0.041309504139355635
6,17,0.6671895529029593
6,22,0.6595088925988839
6,24,0.25433980331466377
6,26,0.7772021886024075
6,31,0.5845523532116628
6,32,0.15867267237137894
6,34,0.5638232201413531
6,35,0.657836828523086
6,36,0.6842909204848285
6,37,0.8112565551666511
6,40,0.14190879212187968
6,41,0.25267623061319266
6,42,0.14748542106170492
6,43,0.7324095413338656
6,44,0.7449789073023827
6,45,0.19220016418925057
6,46,0.5553725747351238
6,47,0.48877202502275663
6,48,0.7286835898932446
6,49,0.16475725252275109
6,51,0.044578647976332486
6,54,0.3837053733666659
6,56,0.6164982437473356
6,58,0.4152520704269548
6,59,0.5145893382197569
6,62,0.17602881891476663
6,63,0.7430379364506288
6,64,0.7569383626762162
6,68,0.15706165438260467
6,69,0.45705747299112964
6,70,0.7128793186279093
6,72,0.5681519678525253
6,73,0.590725336450278
6,76,0.04400684239533914
6,77,0.2003222755534647
6,78,0.14288569501973025
6,81,0.27410020980597527
6,83,0.5924223854942948
6,84,0.42428528155433165
6,90,0.22631778357749588
6,94,0.7630393962496996
7,0,0.6260857730025566
7,2,0.5702148438556225
7,7,1.0
7,14,0.3351236078408024
7,19,0.46021499718242165
7,21,0.3280212311410029
7,24,0.14427115695334414
7,28,0.32111462498636056
7,30,0.4140682691137225
7,36,0.0025768777911924223
7,38,0.3177350434460354
7,39,0.1310459483792803
7,57,0.2508340082722482
7,61,0.06554287268674397
7,62,0.2972918411965604
7,67,0.3723024787027882
7,78,0.341570797497488
7,88,0.03129664009905808
8,1,0.04756806427588256
8,3,0.09136831395179545
8,8,1.0
8,10,0.1409983490567568
8,11,0.004395170202511234
8,15,0.01507073762660227
8,16,0.010288382526602802
8,17,0.11963077404734734
8,20,0.029676509161493336
8,24,0.10212980205680511
8,27,0.18004661612519524
8,28,0.2252418576729026
8,33,0.18193134226221275
8,38,0.03687642111246847
8,39,0.28935440181089467
8,40,0.24137249440162234
8,43,0.008283491832654755
8,45,0.019826579179262227
8,46,0.047685956824302655
8,47,0.025997885564944645
8,49,0.0877494476577062
8,50,0.24079982157166402
8,51,7.992856935756798e-05
8,52,0.0719092715742028
8,53,0.2598170005727163
8,54,0.01618966154905388
8,55,0.28128451033684587
8,57,0.022716286641974004
8,61,0.15522533075463496
8,65,0.08034061864259834
8,66,0.06850857198863292
8,67,0.1311828183999344
8,68,0.1973317109851226
8,71,0.5465752695185757
8,73,0.0136413128047852
8,75,0.0036160206160180675
8,76,0.01690482347447375
8,80,0.42426447140368273
8,82,0.02596801008468863
8,84,0.020278384016944484
8,85,0.41242759907357085
8,87,0.06940111610534272
8,88,0.06886321915689497
8,89,0.017975943846433196
8,91,0.006754879618183551
8,95,0.04703733917536557
8,96,0.010087528542227497
8,98,0.09910635259235412
8,99,0.2722960209160472
9,1,0.2526626575028492
9,5,0.8279567668412738
9,9,1.0
9,15,0.758336205961524
9,16,0.48540445650280784
9,22,0.016882871988107673
9,23,0.3161846666807966
9,25,0.6635718821750746
9,27,0.36741987056771996
9,29,0.61622695347961
9,32,0.5000271717274738
9,39,0.23675554489595962
9,41,0.37284475919506466
9,42,0.4052648764748181
9,47,0.008997542055475649
9,50,0.5841612103807634
9,51,0.5458190806858136
9,52,0.6122702568906657
9,53,0.1156046406297615
9,55,0.012000664305331643
9,65,0.03852159151501666
9,66,0.5970376474880931
9,71,0.03602366491877129
9,73,0.08574715543434441
9,74,0.8156022216098683
9,76,0.5424969236398661
9,77,0.020921278075119787
9,79,0.04691332880982335
9,80,0.47290984071413966
9,82,0.7815025963934354
9,85,0.07549305128550099
9,86,0.832364595972199
9,87,0.09088828513163771
9,88,0.5137986551933061
9,89,0.8119803927063751
9,91,0.768357082489637
9,92,0.8003467898233628
9,95,0.03790786119958556
9,96,0.012600259760225274
9,98,0.027289300405239136
10,2,0.10664530118068805
10,6,0.6640265232397927
10,8,0.1409983490567568
10,10,1.0
10,11,0.5538413661762127
10,13,0.6509871407449093
10,17,0.4422774286455182
10,21,0.043313195570448215
10,22,0.509092839106396
10,24,0.19066171708810975
10,26,0.4868551639999801
10,31,0.5268761610758036
10,32,0.05022308784122176
10,34,0.4082126597246203
10,35,0.4466633003233136
10,36,0.5415705196304614
10,37,0.5708151174458042
10,40,0.18497076927099132
10,41,0.09301005787957484
10,42,0.002439772874650914
10,43,0.5816210181787752
10,44,0.5875706881753282
10,45,0.18010431505597368
10,46,0.4365023789488005
10,47,0.4138919660456939
10,48,0.6448803841762247
10,49,0.07423282254246621
10,50,0.10963521014622757
10,54,0.2881590894338757
10,55,0.024866283125238975
10,56,0.43215604478271963
10,58,0.3314132373010271
10,59,0.37699836782415774
10,62,0.06952624609631053
10,63,0.6859525787125781
10,64,0.7104585996143347
10,68,0.19219668924969924
10,69,0.2833193187767389
10,70,0.5925158934047059
10,71,0.010199521133315237
10,72,0.46497567558662567
10,73,0.34049376190302616
10,77,0.13637759388138349
10,78,0.11764988546620125
10,81,0.2878111297845215
10,83,0.3947796471841051
10,84,0.5653153360467356
10,85,0.11718407354138516
10,90,0.16709908870306034
10,93,0.09166459393143345
10,94,0.5128060759458875
10,97,0.003480077441369578
11,2,0.2020049190948383
11,6,0.6548965200573064
11,8,0.004395170202511234
11,10,0.5538413661762127
11,11,1.0
11,13,0.6420872493424319
11,17,0.605118289882662
11,22,0.6420884307415776
11,24,0.18980272789646313
11,26,0.5433969004552553
11,31,0.5154534725575444
11,32,0.14679513440732928
11,34,0.4534140275043319
11,35,0.44663327361947935
11,36,0.6860294312317159
11,37,0.7303092690664672
11,40,0.08283789827610699
11,41,0.19070056513693356
11,42,0.09554987390384095
11,43,0.6113609857142976
11,44,0.7829522952625001
11,45,0.2709005212140305
11,46,0.6703250610809539
11,47,0.5295305010409124
11,48,0.6959936474145874
11,49,0.020391316866068432
11,51,0.01863044734725272
11,54,0.5387963207443308
11,55,0.026406621348041726
11,56,0.614654495927785
11,58,0.5197638691265234
11,59,0.46740917895589573
11,62,0.1451534490708023
11,63,0.6801192217420171
11,64,0.7392079533469404
11,68,0.11150585187174733
11,69,0.36899006484314323
11,70,0.671196051915052
11,72,0.7064997385481795
11,73,0.5111532799653484
11,76,0.0531581607339664
11,77,0.13734561805796464
11,78,0.16129136072736538
11,81,0.27402416680677444
11,83,0.7164911516111554
11,84,0.38206334417800136
11,90,0.1506872948520379
11,94,0.5861676631956023
12,1,0.1778827067555928
12,3,0.008534740006071129
12,4,0.4560544836625344
12,12,1.0
12,14,0.14997531174350964
12,18,0.3907630762117892
12,19,0.10013636388252778
12,20,0.1487116506159466
12,27,0.015480196338238716
12,29,0.02793097466562766
12,33,0.23830848131650573
12,49,0.2172186540542933
12,53,0.1290049803128841
12,59,0.07571130609731924
12,60,0.53584381486167
12,69,0.21629792204323295
12,71,0.0225188502382474
12,75,0.017762578586736244
12,79,0.038662644787094136
12,81,0.07721219352534159
12,87,0.14686382919992702
12,90,0.1696696649648506
12,93,0.24715032469320464
12,95,0.02248522734557501
12,96,0.13352923774851166
13,2,0.047788507655412316
13,6,0.8209030662717933
13,10,0.6509871407449093
13,11,0.6420872493424319
13,13,1.0
13,16,0.04701738022496038
13,17,0.6687700722595905
13,22,0.6315180443013617
13,24,0.16352741424000694
13,26,0.7768594873186738
13,31,0.52674087975525
13,32,0.18557156601304747
13,34,0.5122468745537939
13,35,0.5754044389975893
13,36,0.6545504496116309
13,37,0.8197163532836879
13,40,0.1822989194235426
13,41,0.2550311814675015
13,42,0.1586072376080856
13,43,0.674830630831339
13,44,0.7384329687749434
13,45,0.2510948008138085
13,46,0.495978762113932
13,47,0.41628739129730297
13,48,0.7501481218107112
13,49,0.16827880438654486
13,51,0.06593748284965462
13,54,0.3564771967022975
13,56,0.6087905904015068
13,58,0.4145840417038493
13,59,0.5054472542837897
13,62,0.1229710309000297
13,63,0.727406341054825
13,64,0.7669232598706409
13,68,0.1230767245351827
13,69,0.45667113795343073
13,70,0.6606505245470139
13,72,0.5880505576051546
13,73,0.5185262959334618
13,76,0.06063967892312827
13,77,0.15300280985858405
13,78,0.057321960485124834
13,81,0.2779296164856635
13,83,0.6052742006224477
13,84,0.5119362258254474
13,90,0.23342904349204963
13,94,0.7040302409703066
14,0,0.32451346084927923
14,2,0.1831476246104411
14,4,0.2759842709865794
14,7,0.3351236078408024
14,12,0.14997531174350964
14,14,1.0
14,18,0.06224864140811193
14,19,0.31146445786336585
14,20,0.10825419974380601
14,21,0.23149010323988173
14,30,0.2915399841402624
14,33,0.015355862827867162
14,38,0.1936301641583077
14,45,0.027545720773788918
14,49,0.06717339914302367
14,57,0.21017080508623787
14,60,0.04631565930015524
14,61,0.04236985603284227
14,62,0.05976862389604354
14,67,0.12835098901103592
14,75,0.06841299835752368
14,78,0.12402559764677024
14,81,0.005313973268153749
14,93,0.149761512789228
14,99,0.055339963521975344
15,0,0.1269582580204046
15,1,0.22088975883307493
15,5,0.8028093799350884
15,8,0.01507073762660227
15,9,0.758336205961524
15,15,1.0
15,16,0.3724679036775137
15,23,0.4115334205118829
15,25,0.6102766922715182
15,27,0.3158539253097947
15,28,0.18046781728770678
15,29,0.5060334938059043
15,30,0.06903335217953588
15,32,0.477732601052141
15,39,0.3760753592819194
15,40,0.04426109746579854
15,41,0.3391445984585125
15,42,0.3495863950463711
15,50,0.43959311850257854
15,51,0.5153065058773469
15,52,0.5645542481772399
15,53,0.026789061908047307
15,55,0.15286287639697727
15,65,0.1621391476880789
15,66,0.7079934244822835
15,71,0.0530035964047616
15,73,0.009862706522781872
15,74,0.8504233175862517
15,76,0.5142622602887402
15,79,0.07267634236856968
15,80,0.5749620473417426
15,82,0.8085885191454782
15,85,0.02719857661949876
15,86,0.813709345092102
15,87,0.0630154545477325
15,88,0.6450547023706273
15,89,0.7945487997142251
15,91,0.6881538247035266
15,92,0.7169230956716705
15,95,0.006959898240385898
15,98,0.08707025222229836
16,1,0.16253460836994593
16,5,0.43627257260273433
16,6,0.041309504139355635
16,8,0.010288382526602802
16,9,0.48540445650280784
16,13,0.04701738022496038
16,15,0.3724679036775137
16,16,1.0
16,17,0.08072354120414327
16,22,0.2184474883988683
16,23,0.29475882394612196
16,24,0.037839097505902974
16,25,0.5852659253902792
16,26,0.1633726168623465
16,27,0.2270371470148882
16,29,0.3854254941072155
16,32,0.5286102700551542
16,33,0.04432189935967901
16,36,0.05247846804240053
16,39,0.10038155052076869
16,40,0.0013890411088315346
16,41,0.4424218988625188
16,42,0.5103316630665362
16,43,0.043622342852873586
16,44,0.013029694917024215
16,46,0.0020465930348948502
16,48,0.05973745979331979
16,50,0.35973888008199184
16,51,0.5653618649338457
16,52,0.32218635036646115
16,53,0.16714347422657072
16,55,0.18558505420873295
16,65,0.11552175533830011
16,66,0.2931045730653914
16,67,0.06441166515179364
16,68,0.006287601576997037
16,71,0.06904487586120667
16,73,0.06022735998233664
16,74,0.40261695039405554
16,75,0.06680014836493875
16,76,0.5539599727559615
16,77,0.07882051038148197
16,79,0.09885204179180795
16,80,0.23741877560765356
16,82,0.43382972255049745
16,83,0.02154029767465948
16,85,0.10860722400508482
16,86,0.40250782881139013
16,87,0.10769536565699556
16,88,0.16076002680368262
16,89,0.40330473611794226
16,91,0.4238365836487623
16,92,0.4575482209714412
16,94,0.17932976857976812
16,95,0.12558179334762598
16,96,0.10220928278417474
16,97,0.07189679715449826
16,98,0.15495505022945644
16,99,0.04934310464513425
17,2,0.04261439250936061
17,6,0.6671895529029593
17,8,0.11963077404734734
17,10,0.4422774286455182
17,11,0.605118289882662
17,13,0.6687700722595905
17,16,0.08072354120414327
17,17,1.0
17,22,0.541335164726583
17,24,0.12183121681879205
17,26,0.7797522981831726
17,31,0.2996467468237545
17,32,0.1282298693273215
17,33,0.008336755887035863
17,34,0.3695318531229903
17,35,0.4476391815629138
17,36,0.5372134961039229
17,37,0.682388958045677
17,40,0.09204222591822009
17,41,0.205424569319561
17,42,0.14746442058630493
17,43,0.5369295153762048
17,44,0.6345269774018507
17,45,0.5666278851874142
17,46,0.4839525195939711
17,47,0.33420305218152446
17,48,0.570575898176117
17,49,0.1816135372461627
17,51,0.066416663383836
17,53,0.0501812513699772
17,54,0.38000668815244465
17,55,0.031075556733237697
17,56,0.45719419383952553
17,58,0.3956459293397674
17,59,0.44030783886225244
17,62,0.05060831117141973
17,63,0.5552969237985022
17,64,0.6231796791346125
17,67,0.08512745435611024
17,68,0.11506968340931145
17,69,0.32552470089339147
17,70,0.5153426401027494
17,72,0.5194522730448824
17,73,0.3946860300358508
17,76,0.05106718502384511
17,77,0.05899948171973979
17,81,0.24933950563552365
17,83,0.5686125635944699
17,84,0.47647847100277674
17,85,0.054791814726362076
17,90,0.0712318201413098
17,94,0.5906899285365983
17,97,0.022161329298235333
18,3,0.16308501718265955
18,4,0.6069405895878527
18,12,0.3907630762117892
18,14,0.06224864140811193
18,18,1.0
18,19,0.11314485110967976
18,20,0.12597205093773223
18,49,0.13673997219367928
18,60,0.30456899043008956
18,69,0.03657130417219867
18,87,0.020816635904941094
18,90,0.11263697530874162
18,93,0.06785780651155382
19,0,0.41351874901765073
19,2,0.2713065183308718
19,4,0.17219792487384744
19,7,0.46021499718242165
19,12,0.10013636388252778
19,14,0.31146445786336585
19,18,0.11314485110967976
19,19,1.0
19,21,0.18349343424998843
19,24,0.06390945651519231
19,28,0.04776786893234841
19,30,0.2312037567686308
19,38,0.1388439748899275
19,57,0.1558568565427788
19,60,0.030155974044773104
19,61,0.09247089954180532
19,62,0.364197021571501
19,67,0.07452043393814545
19,75,0.050981987655319694
19,77,0.015961974619056796
19,78,0.11150253616791073
20,3,0.04318255128301385
20,4,0.11532796046588012
20,8,0.029676509161493336
20,12,0.1487116506159466
20,14,0.10825419974380601
20,18,0.12597205093773223
20,20,1.0
20,24,0.04315842447945206
20,32,0.007142215184689715
20,33,0.04602690075333582
20,34,0.10633317647332607
20,35,0.011831096083771198
20,38,0.012144352147282267
20,39,0.2735428043546596
20,41,0.026808984683491466
20,42,0.018048898123346535
20,49,0.3084619617174025
20,51,0.07597934031075293
20,56,0.00023807532748609805
20,59,0.09758284527114847
20,60,0.13426307582836405
20,61,0.0052958411063017685
20,65,0.021939005661278155
20,69,0.10062523524318134
20,71,0.2471257072617692
20,75,0.04403158890143122
20,76,0.0029224923208809317
20,79,0.15364230036330717
20,81,0.04306265536544163
20,90,0.060867337727271265
20,93,0.08774663038342512
20,95,0.01947266422700189
20,96,0.04086553462872744
20,97,0.003518617733265894
20,98,0.03032750036585663
21,0,0.3239365655370774
21,1,0.08607368157564199
21,2,0.3729462267063801
21,4,0.04949097438860439
21,7,0.3280212311410029
21,10,0.043313195570448215
21,14,0.23149010323988173
21,19,0.18349343424998843
21,21,1.0
21,24,0.03610299249112814
21,28,0.17876932526749068
21,30,0.1833427616813912
21,33,0.028243511684353684
21,38,0.2625138552460943
21,39,0.07232445544641952
21,40,0.03036513293203702
21,52,0.07319454058628305
21,57,0.2541845824502733
21,61,0.09491396985206402
21,62,0.07319896280134364
21,67,0.12230476569043658
21,75,0.12743345634987224
21,78,0.18307835274790774
21,85,0.035269446812061345
21,88,0.081289091004355
21,93,0.0277348947931767
21,97,0.17306114525026717
21,99,0.245689311593975
22,2,0.14610884161463566
22,6,0.6595088925988839
22,9,0.016882871988107673
22,10,0.509092839106396
22,11,0.6420884307415776
22,13,0.6315180443013617
22,16,0.2184474883988683
22,17,0.541335164726583
22,22,1.0
22,24,0.20925158153740453
22,25,0.10993309467643075
22,26,0.5533485858747412
22,31,0.4745233465655502
22,32,0.33351920890723874
22,34,0.4077666329228897
