ID,Label
0,בְּ
1,רֵאשִׁית
2,ברא
3,אֱלֹהִים
4,אֵת
5,הַ
6,שָׁמַיִם
7,וְ
8,אֶרֶץ
9,היה
10,תֹּהוּ
11,חֹשֶׁךְ
12,עַל
13,פָּנֶה
14,תְּהֹום
15,רוּחַ
16,מַיִם
17,אמר
18,אֹור
19,ראה
20,כִּי
21,טוב
22,בדל
23,בַּיִן
24,קרא
25,לְ
26,יֹום
27,לַיְלָה
28,עֶרֶב
29,בֹּקֶר
30,אֶחָד
31,תָּוֶךְ
32,עשׂה
33,אֲשֶׁר
34,מִן
35,תַּחַת
36,כֵּן
37,שֵׁנִי
38,אֶל
39,מָקֹום
40,יָם
41,עֵשֶׂב
42,זרע
43,זֶרַע
44,עֵץ
45,פְּרִי
46,מִין
47,יצא
48,שְׁלִישִׁי
49,אֹות
50,מֹועֵד
51,שָׁנָה
52,אור
53,שְׁנַיִם
54,גָּדֹול
55,קָטֹן
56,כֹּוכָב
57,נתן
58,משׁל
59,רְבִיעִי
60,נֶפֶשׁ
61,חַי
62,עֹוף
63,עוף
64,כֹּל
65,כָּנָף
66,ברך
67,פרה
68,רבה
69,מלא
70,חֲמִישִׁי
71,בְּהֵמָה
72,חַיָּה
73,אֲדָמָה
74,אָדָם
75,כְּ
76,דְּמוּת
77,רדה
78,זָכָר
79,נְקֵבָה
80,הִנֵּה
81,טֹוב
82,מְאֹד
83,שִׁשִּׁי
84,כלה
85,צָבָא
86,שְׁבִיעִי
87,מְלֶאכֶת
88,שׁבת
89,קדשׁ
90,אֵלֶּה
91,תֹּולֵדֹות
92,יְהוָה
93,שָׂדֶה
94,טֶרֶם
95,צמח
96,לֹא
97,אַיִן
98,עבד
99,עלה
100,שׁקה
101,יצר
102,עָפָר
103,אַף
104,נְשָׁמָה
105,חַיִּים
106,נטע
107,גַּן
108,קֶדֶם
109,שׂים
110,שָׁם
111,חמד
112,מַרְאֶה
113,מַאֲכָל
114,דַּעַת
115,רַע
116,נָהָר
117,פרד
118,אַרְבַּע
119,רֹאשׁ
120,שֵׁם
121,הוּא
122,סבב
123,זָהָב
124,הִיא
125,אֶבֶן
126,כּוּשׁ
127,הלך
128,אַשּׁוּר
129,לקח
130,נוח
131,שׁמר
132,צוה
133,אכל
134,מות
135,בַּד
136,עֵזֶר
